"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
5.00000e+1	3.53324e+12
6.00000e+1	4.00141e+12
7.00000e+1	4.44578e+12
8.00000e+1	4.87067e+12
9.00000e+1	5.27916e+12
1.00000e+2	5.67352e+12
1.10000e+2	6.05550e+12
1.20000e+2	6.42648e+12
1.30000e+2	6.78758e+12
1.40000e+2	7.13969e+12
1.50000e+2	7.48359e+12
1.60000e+2	7.81992e+12
1.70000e+2	8.14923e+12
1.80000e+2	8.47198e+12
1.90000e+2	8.78860e+12
2.00000e+2	9.09944e+12
2.10000e+2	9.40483e+12
2.20000e+2	9.70506e+12
2.30000e+2	1.00004e+13
2.40000e+2	1.02910e+13
2.50000e+2	1.05772e+13
2.60000e+2	1.08590e+13
2.70000e+2	1.11368e+13
2.80000e+2	1.14106e+13
2.90000e+2	1.16806e+13
3.00000e+2	1.19469e+13
3.10000e+2	1.22097e+13
3.20000e+2	1.24690e+13
3.30000e+2	1.27250e+13
3.40000e+2	1.29778e+13
3.50000e+2	1.32274e+13
3.60000e+2	1.34740e+13
3.70000e+2	1.37177e+13
3.80000e+2	1.39584e+13
3.90000e+2	1.41963e+13
4.00000e+2	1.44315e+13
4.10000e+2	1.46640e+13
4.20000e+2	1.48939e+13
4.30000e+2	1.51212e+13
4.40000e+2	1.53460e+13
4.50000e+2	1.55683e+13
4.60000e+2	1.57882e+13
4.70000e+2	1.60058e+13
4.80000e+2	1.62211e+13
4.90000e+2	1.64341e+13
5.00000e+2	1.66449e+13
5.10000e+2	1.68535e+13
5.20000e+2	1.70599e+13
5.30000e+2	1.72643e+13
5.40000e+2	1.74665e+13
5.50000e+2	1.76668e+13
5.60000e+2	1.78650e+13
5.70000e+2	1.80612e+13
5.80000e+2	1.82556e+13
5.90000e+2	1.84480e+13
6.00000e+2	1.86385e+13
6.10000e+2	1.88272e+13
6.20000e+2	1.90140e+13
6.30000e+2	1.91990e+13
6.40000e+2	1.93823e+13
6.50000e+2	1.95638e+13
6.60000e+2	1.97436e+13
6.70000e+2	1.99217e+13
6.80000e+2	2.00981e+13
6.90000e+2	2.02728e+13
7.00000e+2	2.04459e+13
7.10000e+2	2.06174e+13
7.20000e+2	2.07873e+13
