"cff = 1.4544052154180593, order = 1, 2024-04-15 04:02:37.669956"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
300,0.1825631716933458,0.0012132960438649813,39899933214.4372,1675.6069321515815,"{'OE1': 41551.716596397135, 'OE2': 41541.60297186439, 'OE3': 10836.912319862384, 'OE4': 10836.912319862384, 'OE5': 10836.912319862384, 'OE6': 9264.204900853749, 'OE7': 2322.7894238191857, 'OE8': 1990.9013687050237, 'OE9': 1675.6069321515815}","{'OE1': 9.466732974620507, 'OE2': 6.513932703284443, 'OE3': 6.472280585946361, 'OE4': 9.411206887855045, 'OE5': 9.411206887855045, 'OE6': 0.23013740479499917, 'OE7': 5.8005837293001825, 'OE8': 2.3247290762885044, 'OE9': 0.04925560147046232}","{'OE1': 49337, 'OE2': 49325, 'OE3': 49198, 'OE4': 49198, 'OE5': 49198, 'OE6': 49133, 'OE7': 12303, 'OE8': 12303, 'OE9': 12286}"
310,0.19446803869840323,0.0012475200887376648,10505655831.5888,416.23665491239836,"{'OE1': 35383.30521407303, 'OE2': 35383.30521407303, 'OE3': 4212.224850099446, 'OE4': 4212.224850099446, 'OE5': 4212.224850099446, 'OE6': 3111.744378246986, 'OE7': 783.7699832219512, 'OE8': 580.9244181328909, 'OE9': 416.23665491239836}","{'OE1': 9.415328561074823, 'OE2': 6.53375505504339, 'OE3': 6.527594279744971, 'OE4': 9.48933027042034, 'OE5': 9.48933027042034, 'OE6': 0.2154215988557746, 'OE7': 5.9286529488912905, 'OE8': 2.3329608842154674, 'OE9': 0.051383789226120274}","{'OE1': 49353, 'OE2': 49353, 'OE3': 49352, 'OE4': 49352, 'OE5': 49352, 'OE6': 49274, 'OE7': 12419, 'OE8': 12419, 'OE9': 12403}"
320,0.20997035017603594,0.0011966014267184022,3866887758.6836457,155.57695576871055,"{'OE1': 29941.128571659166, 'OE2': 29941.128571659166, 'OE3': 2372.8386676416594, 'OE4': 2372.8386676416594, 'OE5': 2372.8386676416594, 'OE6': 1506.582543736306, 'OE7': 402.5857665642718, 'OE8': 256.63468698554937, 'OE9': 155.57695576871055}","{'OE1': 9.449242458793915, 'OE2': 6.541254227193313, 'OE3': 6.541285794724939, 'OE4': 9.508712842015502, 'OE5': 9.508712842015502, 'OE6': 0.21325078534407577, 'OE7': 5.8986132229675015, 'OE8': 2.337854147934527, 'OE9': 0.05176196481796104}","{'OE1': 49353, 'OE2': 49353, 'OE3': 49353, 'OE4': 49353, 'OE5': 49353, 'OE6': 49292, 'OE7': 13173, 'OE8': 13173, 'OE9': 13153}"
330,0.21505630974178302,0.0012819943442805611,2504088461.0659375,91.96722968355436,"{'OE1': 27042.981680997036, 'OE2': 27042.981680997036, 'OE3': 1984.4806335863725, 'OE4': 1984.4806335863725, 'OE5': 1984.4806335863725, 'OE6': 1148.0077847247078, 'OE7': 288.6112973449249, 'OE8': 167.81813457434293, 'OE9': 91.96722968355436}","{'OE1': 9.382435869964675, 'OE2': 6.537081547842964, 'OE3': 6.5370779765013864, 'OE4': 9.503558964628603, 'OE5': 9.503558964628603, 'OE6': 0.21787668632866952, 'OE7': 6.028885759790743, 'OE8': 2.3333427061389065, 'OE9': 0.052145850391019655}","{'OE1': 49342, 'OE2': 49342, 'OE3': 49342, 'OE4': 49342, 'OE5': 49342, 'OE6': 49272, 'OE7': 12398, 'OE8': 12398, 'OE9': 12384}"
340,0.2202603213021348,0.0012587010088970921,3182125087.4463577,116.81269567313764,"{'OE1': 27095.840517520173, 'OE2': 27095.840517520173, 'OE3': 2442.6039495754594, 'OE4': 2442.6039495754594, 'OE5': 2442.6039495754594, 'OE6': 1413.8674035173926, 'OE7': 365.4369503331799, 'OE8': 212.90183706086387, 'OE9': 116.81269567313764}","{'OE1': 9.401834700645216, 'OE2': 6.535693053805264, 'OE3': 6.535686762111958, 'OE4': 9.503319752503085, 'OE5': 9.503319752503085, 'OE6': 0.22916319038703586, 'OE7': 5.918768993088184, 'OE8': 2.3391359437655077, 'OE9': 0.05330990857224688}","{'OE1': 49370, 'OE2': 49370, 'OE3': 49370, 'OE4': 49370, 'OE5': 49370, 'OE6': 49294, 'OE7': 12754, 'OE8': 12754, 'OE9': 12735}"
350,0.22786218267651748,0.0013062374095885129,5753406190.573651,200.22734966200375,"{'OE1': 28855.046475372703, 'OE2': 28855.046475372703, 'OE3': 3504.7038072119217, 'OE4': 3504.7038072119217, 'OE5': 3504.7038072119217, 'OE6': 2149.162911038236, 'OE7': 553.8023019246084, 'OE8': 342.2891457672858, 'OE9': 200.22734966200375}","{'OE1': 9.447264275993039, 'OE2': 6.535278338927035, 'OE3': 6.535293782904552, 'OE4': 9.501514381718424, 'OE5': 9.501514381718424, 'OE6': 0.22652568922309713, 'OE7': 5.981080363877497, 'OE8': 2.3292938993840617, 'OE9': 0.052161664785868866}","{'OE1': 49326, 'OE2': 49326, 'OE3': 49326, 'OE4': 49326, 'OE5': 49326, 'OE6': 49240, 'OE7': 12658, 'OE8': 12658, 'OE9': 12639}"
360,0.24197721821849427,0.0013181521701871664,6469754454.158326,219.41914787879438,"{'OE1': 29239.041244657907, 'OE2': 29239.041244657907, 'OE3': 3757.353684400553, 'OE4': 3757.353684400553, 'OE5': 3757.353684400553, 'OE6': 2331.8713037345565, 'OE7': 592.6132188610657, 'OE8': 370.39884593398597, 'OE9': 219.41914787879438}","{'OE1': 9.388816375291444, 'OE2': 6.541430274800415, 'OE3': 6.541387205011951, 'OE4': 9.512444054229569, 'OE5': 9.512444054229569, 'OE6': 0.21140089628658287, 'OE7': 6.167937761939692, 'OE8': 2.3481919522987797, 'OE9': 0.052983719289022846}","{'OE1': 49330, 'OE2': 49330, 'OE3': 49330, 'OE4': 49330, 'OE5': 49330, 'OE6': 49243, 'OE7': 12524, 'OE8': 12524, 'OE9': 12507}"
370,0.24245423415436562,0.001343769279216414,8615767582.202965,281.86018613326644,"{'OE1': 30259.86224534176, 'OE2': 30259.86224534176, 'OE3': 4363.718375515136, 'OE4': 4363.718375515137, 'OE5': 4363.718375515137, 'OE6': 2792.6044400580736, 'OE7': 714.312013596767, 'OE8': 460.1977748689561, 'OE9': 281.86018613326644}","{'OE1': 9.424650609464173, 'OE2': 6.54066152082984, 'OE3': 6.540649072927019, 'OE4': 9.510601638251725, 'OE5': 9.510601638251725, 'OE6': 0.2346078093023421, 'OE7': 5.915143766547228, 'OE8': 2.3369053828527186, 'OE9': 0.050065895349379955}","{'OE1': 49360, 'OE2': 49360, 'OE3': 49360, 'OE4': 49360, 'OE5': 49360, 'OE6': 49269, 'OE7': 12610, 'OE8': 12610, 'OE9': 12589}"
380,0.24741391913897814,0.0013997088627858926,12449183348.842947,386.1262480847114,"{'OE1': 31649.01974031873, 'OE2': 31649.01974031873, 'OE3': 5371.211524006963, 'OE4': 5371.211524006963, 'OE5': 5371.211524006963, 'OE6': 3582.60249754215, 'OE7': 898.1643947136592, 'OE8': 602.6936146243809, 'OE9': 386.1262480847114}","{'OE1': 9.421893720776819, 'OE2': 6.414138266719455, 'OE3': 6.414094367373281, 'OE4': 9.325203975285348, 'OE5': 9.325203975285348, 'OE6': 0.22937048236256058, 'OE7': 5.944919421424997, 'OE8': 2.3371390660930036, 'OE9': 0.05102950472946639}","{'OE1': 49346, 'OE2': 49346, 'OE3': 49346, 'OE4': 49346, 'OE5': 49346, 'OE6': 49267, 'OE7': 12357, 'OE8': 12357, 'OE9': 12337}"
390,0.2712671405531637,0.0013158806797657864,17148038065.617275,561.4158328041266,"{'OE1': 32989.247659119224, 'OE2': 32989.247659119224, 'OE3': 6581.309339396577, 'OE4': 6581.309339396578, 'OE5': 6581.309339396578, 'OE6': 4556.809129066004, 'OE7': 1207.0321562084941, 'OE8': 840.789871220422, 'OE9': 561.4158328041266}","{'OE1': 9.402880799881094, 'OE2': 6.543301783455945, 'OE3': 6.5432420624210605, 'OE4': 9.514975261371209, 'OE5': 9.514975261371209, 'OE6': 0.20540354364900154, 'OE7': 6.009326378755862, 'OE8': 2.3309499034184147, 'OE9': 0.050826002001723006}","{'OE1': 49349, 'OE2': 49349, 'OE3': 49349, 'OE4': 49349, 'OE5': 49349, 'OE6': 49254, 'OE7': 13052, 'OE8': 13052, 'OE9': 13031}"
