"cff = 2.1658338175682026, order = 1, 2024-04-16 13:44:47.689142"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
300,0.15283366666062648,0.0010082960003122328,55287846536.50727,3387.0722481575363,"{'OE1': 41556.539857004864, 'OE2': 41556.539857004864, 'OE3': 22235.36786116208, 'OE4': 22235.367861162085, 'OE5': 22235.367861162085, 'OE6': 18990.861722311784, 'OE7': 4691.43165968871, 'OE8': 4020.579357766583, 'OE9': 3387.0722481575363}","{'OE1': 9.434449153601708, 'OE2': 6.525986300579056, 'OE3': 6.525970299413894, 'OE4': 14.128888059783774, 'OE5': 14.128888059783774, 'OE6': 0.20936065315267816, 'OE7': 5.983687785697317, 'OE8': 3.5055008335819413, 'OE9': 0.049950344030596255}","{'OE1': 49339, 'OE2': 49339, 'OE3': 49339, 'OE4': 49339, 'OE5': 49339, 'OE6': 49226, 'OE7': 12158, 'OE8': 12157, 'OE9': 12153}"
310,0.1613054742647364,0.0010141107499323206,32636290902.99058,1897.772108104611,"{'OE1': 35382.12029016656, 'OE2': 35382.12029016656, 'OE3': 19078.833992336225, 'OE4': 19078.833992336225, 'OE5': 19078.833992336225, 'OE6': 14082.495746875973, 'OE7': 3573.9475947963447, 'OE8': 2648.594029265878, 'OE9': 1897.772108104611}","{'OE1': 9.415331755567292, 'OE2': 6.401365930767234, 'OE3': 6.401322238745159, 'OE4': 14.145183409757436, 'OE5': 14.145183409757436, 'OE6': 0.2178993634337517, 'OE7': 5.949440703096631, 'OE8': 3.500952984355404, 'OE9': 0.05067478520760911}","{'OE1': 49351, 'OE2': 49351, 'OE3': 49351, 'OE4': 49351, 'OE5': 49351, 'OE6': 49234, 'OE7': 12500, 'OE8': 12500, 'OE9': 12487}"
320,0.16400565516948973,0.0010179087998096747,18733523927.494106,1039.1539051517389,"{'OE1': 29941.597533965687, 'OE2': 29941.597533965687, 'OE3': 16429.06426088362, 'OE4': 16429.064260883624, 'OE5': 16429.064260883624, 'OE6': 10426.432235473578, 'OE7': 2689.539217169261, 'OE8': 1714.1516648569307, 'OE9': 1039.1539051517389}","{'OE1': 9.449244122232578, 'OE2': 6.542353473437046, 'OE3': 6.542367910050533, 'OE4': 14.159701804726495, 'OE5': 14.159701804726495, 'OE6': 0.2134950430975477, 'OE7': 6.077815451075029, 'OE8': 3.5093864738603786, 'OE9': 0.05093057561903587}","{'OE1': 49353, 'OE2': 49353, 'OE3': 49353, 'OE4': 49353, 'OE5': 49353, 'OE6': 49267, 'OE7': 12713, 'OE8': 12713, 'OE9': 12698}"
330,0.1753659087924575,0.0010392651688389929,13422266075.769308,700.3741165156855,"{'OE1': 27041.638049198555, 'OE2': 27041.638049198555, 'OE3': 15052.018361903445, 'OE4': 15052.018361903445, 'OE5': 15052.018361903445, 'OE6': 8702.383178162188, 'OE7': 2197.887015405582, 'OE8': 1277.6867314934393, 'OE9': 700.3741165156855}","{'OE1': 9.382431121052285, 'OE2': 6.538082327486244, 'OE3': 6.5380697836946275, 'OE4': 14.152305891762055, 'OE5': 14.152305891762055, 'OE6': 0.22171884324504043, 'OE7': 5.896928803065276, 'OE8': 3.5076836511409515, 'OE9': 0.04965737671230776}","{'OE1': 49340, 'OE2': 49340, 'OE3': 49340, 'OE4': 49340, 'OE5': 49340, 'OE6': 49239, 'OE7': 12447, 'OE8': 12447, 'OE9': 12439}"
340,0.1855937394857392,0.0010742037677841034,14363212140.03742,698.2451259649587,"{'OE1': 27096.18855553228, 'OE2': 27096.18855553228, 'OE3': 15287.933405598847, 'OE4': 15287.933405598847, 'OE5': 15287.933405598847, 'OE6': 8844.56118679872, 'OE7': 2184.2814990962192, 'OE8': 1271.9392113800313, 'OE9': 698.2451259649587}","{'OE1': 9.401834468110355, 'OE2': 6.536419373274452, 'OE3': 6.536415425223094, 'OE4': 14.1521026831436, 'OE5': 14.1521026831436, 'OE6': 0.2176372938721206, 'OE7': 5.836101892463905, 'OE8': 3.5003151495174682, 'OE9': 0.05154662455185227}","{'OE1': 49371, 'OE2': 49371, 'OE3': 49371, 'OE4': 49371, 'OE5': 49371, 'OE6': 49267, 'OE7': 12179, 'OE8': 12176, 'OE9': 12167}"
350,0.19117478833015866,0.001076476992215508,20029747863.146442,937.5988366144525,"{'OE1': 28857.760747845892, 'OE2': 28857.760747845892, 'OE3': 16538.273313961832, 'OE4': 16538.273313961832, 'OE5': 16538.273313961832, 'OE6': 10137.4007257877, 'OE7': 2593.356514650872, 'OE8': 1602.5976599708315, 'OE9': 937.5988366144525}","{'OE1': 9.447263848217803, 'OE2': 6.536203695912702, 'OE3': 6.536239617206079, 'OE4': 14.149377716215575, 'OE5': 14.149377716215618, 'OE6': 0.22711852683576284, 'OE7': 5.730003007432879, 'OE8': 3.4879360342447057, 'OE9': 0.050560997119251494}","{'OE1': 49324, 'OE2': 49324, 'OE3': 49324, 'OE4': 49324, 'OE5': 49324, 'OE6': 49209, 'OE7': 12586, 'OE8': 12586, 'OE9': 12573}"
360,0.19436846866528867,0.0010843010593210541,22096758231.890976,990.9909863860313,"{'OE1': 29238.742281157196, 'OE2': 29238.742281157196, 'OE3': 17014.150859555095, 'OE4': 17014.150859555095, 'OE5': 17014.150859555095, 'OE6': 10553.051124976053, 'OE7': 2676.987638870093, 'OE8': 1672.6820017185898, 'OE9': 990.9909863860313}","{'OE1': 9.388815882126421, 'OE2': 6.541987008939101, 'OE3': 6.5419547257838495, 'OE4': 14.165381784110968, 'OE5': 14.165381784110968, 'OE6': 0.21093938649942345, 'OE7': 6.098428420944422, 'OE8': 3.429902996749906, 'OE9': 0.05383148196629661}","{'OE1': 49330, 'OE2': 49330, 'OE3': 49330, 'OE4': 49330, 'OE5': 49330, 'OE6': 49212, 'OE7': 12492, 'OE8': 12491, 'OE9': 12479}"
370,0.19949947178878347,0.0010879196855742865,26895535242.45812,1160.2241169726117,"{'OE1': 30258.025842745817, 'OE2': 30258.025842745817, 'OE3': 17751.41422157783, 'OE4': 17715.772336854283, 'OE5': 17715.772336854283, 'OE6': 11333.152287826193, 'OE7': 2939.6323063577074, 'OE8': 1893.4864422941293, 'OE9': 1160.2241169726117}","{'OE1': 9.424646582408936, 'OE2': 6.541367290579971, 'OE3': 6.541366422681184, 'OE4': 14.002662904295594, 'OE5': 14.002662904295551, 'OE6': 0.22027126527641183, 'OE7': 5.646603266179104, 'OE8': 3.471151711271626, 'OE9': 0.050202167240337034}","{'OE1': 49357, 'OE2': 49357, 'OE3': 49357, 'OE4': 49258, 'OE5': 49258, 'OE6': 49145, 'OE7': 12754, 'OE8': 12754, 'OE9': 12744}"
380,0.20793049137637354,0.001157001376637218,33508392695.109425,1315.3673948127616,"{'OE1': 31649.02209059141, 'OE2': 31649.02209059141, 'OE3': 18707.362730625875, 'OE4': 18522.278321645295, 'OE5': 18522.278321645295, 'OE6': 12348.309284081273, 'OE7': 3059.850823344839, 'OE8': 2052.903419356757, 'OE9': 1315.3673948127616}","{'OE1': 9.42189239760536, 'OE2': 6.415134940457342, 'OE3': 6.415085717605457, 'OE4': 13.820490668015681, 'OE5': 13.820490668015681, 'OE6': 0.22213605330484876, 'OE7': 6.080241676654332, 'OE8': 3.443945074899472, 'OE9': 0.052188936794684004}","{'OE1': 49346, 'OE2': 49346, 'OE3': 49346, 'OE4': 48858, 'OE5': 48858, 'OE6': 48750, 'OE7': 12085, 'OE8': 12085, 'OE9': 12072}"
390,0.22374467111421836,0.0011556098669993494,40296694697.24644,1538.546454885711,"{'OE1': 32989.2490829557, 'OE2': 32989.2490829557, 'OE3': 19642.08923782921, 'OE4': 19215.490007306063, 'OE5': 19215.490007306063, 'OE6': 13297.612714065108, 'OE7': 3308.268550902315, 'OE8': 2304.131145033095, 'OE9': 1538.546454885711}","{'OE1': 9.402884505668734, 'OE2': 6.54401423794833, 'OE3': 6.54395873395955, 'OE4': 13.640704524467264, 'OE5': 13.640704524467264, 'OE6': 0.22608939720691035, 'OE7': 5.601928482491317, 'OE8': 3.4485356101958233, 'OE9': 0.0493110968558422}","{'OE1': 49349, 'OE2': 49349, 'OE3': 49349, 'OE4': 48277, 'OE5': 48277, 'OE6': 48154, 'OE7': 11985, 'OE8': 11985, 'OE9': 11970}"
