"cff = 3, order = 3, 2024-04-16 20:37:07.086920"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
300,0.07936483033859076,0.0005295761421924302,9686822.017929008,965.7980255550558,"{'OE1': 41562.92294575598, 'OE2': 21323.00284871093, 'OE3': 7896.067963628602, 'OE4': 7896.067963628602, 'OE5': 7896.067963628602, 'OE6': 6735.4739627533845, 'OE7': 1738.8550583700662, 'OE8': 1147.005780282017, 'OE9': 965.7980255550558}","{'OE1': 9.434451820428253, 'OE2': 3.2849567201374583, 'OE3': 3.284950278469424, 'OE4': 9.85057552867687, 'OE5': 9.85057552867687, 'OE6': 0.21888785388106102, 'OE7': 6.060352492558458, 'OE8': 2.0616438081670907, 'OE9': 0.051370635189031844}","{'OE1': 49338, 'OE2': 25312, 'OE3': 25312, 'OE4': 25312, 'OE5': 25312, 'OE6': 25218, 'OE7': 6511, 'OE8': 5007, 'OE9': 5004}"
310,0.08459441559068637,0.0005465160427503736,6463377.831467323,570.9331580905641,"{'OE1': 35383.96277154255, 'OE2': 19191.039432545167, 'OE3': 7186.709745959178, 'OE4': 7186.709745959178, 'OE5': 7186.709745959178, 'OE6': 5294.561252759493, 'OE7': 1378.7649874146273, 'OE8': 797.0858716013893, 'OE9': 570.9331580905641}","{'OE1': 9.378317666074933, 'OE2': 3.4927305372908704, 'OE3': 3.492708601753833, 'OE4': 10.473079911144708, 'OE5': 10.473079911144708, 'OE6': 0.22620464091126544, 'OE7': 5.912058978658304, 'OE8': 2.2561253208445287, 'OE9': 0.050962712758680584}","{'OE1': 49353, 'OE2': 26768, 'OE3': 26768, 'OE4': 26768, 'OE5': 26768, 'OE6': 26652, 'OE7': 6945, 'OE8': 5413, 'OE9': 5409}"
320,0.09115332852866231,0.000559044654792018,4159437.6252185307,323.1945159280681,"{'OE1': 29942.960713339715, 'OE2': 17094.51911448222, 'OE3': 6586.135256535702, 'OE4': 6586.135256535702, 'OE5': 6586.135256535702, 'OE6': 4174.803547592643, 'OE7': 1058.3218175833147, 'OE8': 533.8766552435573, 'OE9': 323.1945159280681}","{'OE1': 9.449248736843915, 'OE2': 3.682146080768444, 'OE3': 3.6821063394035036, 'OE4': 11.041190185542291, 'OE5': 11.041190185542291, 'OE6': 0.2286751672626905, 'OE7': 5.759688153844672, 'OE8': 2.407313198983806, 'OE9': 0.053046042393130044}","{'OE1': 49353, 'OE2': 28177, 'OE3': 28177, 'OE4': 28177, 'OE5': 28177, 'OE6': 28093, 'OE7': 7125, 'OE8': 5634, 'OE9': 5625}"
330,0.09291106149976258,0.0005755948100462168,3501273.379446358,236.4177558700876,"{'OE1': 27039.76264490435, 'OE2': 16208.287712621819, 'OE3': 6382.303038152124, 'OE4': 6382.303038152124, 'OE5': 6382.303038152124, 'OE6': 3685.9473023131213, 'OE7': 926.816610370552, 'OE8': 431.785227172738, 'OE9': 236.4177558700876}","{'OE1': 9.382421870850358, 'OE2': 3.8646234946526494, 'OE3': 3.864632065548477, 'OE4': 11.587025170660667, 'OE5': 11.587025170660667, 'OE6': 0.21196755609222562, 'OE7': 5.868292273178918, 'OE8': 2.5505486764199765, 'OE9': 0.050458867578599687}","{'OE1': 49337, 'OE2': 29576, 'OE3': 29576, 'OE4': 29576, 'OE5': 29576, 'OE6': 29482, 'OE7': 7420, 'OE8': 5941, 'OE9': 5937}"
340,0.09481159769529768,0.0005703254046703505,4295274.376865688,261.77246684536817,"{'OE1': 27095.676281968357, 'OE2': 17018.07564392722, 'OE3': 6854.630147438662, 'OE4': 6854.630147438662, 'OE5': 6854.630147438662, 'OE6': 3960.9124050057308, 'OE7': 1008.3577398238576, 'OE8': 477.41074653110377, 'OE9': 261.77246684536817}","{'OE1': 9.401833890760626, 'OE2': 4.041801003039575, 'OE3': 4.041794044880923, 'OE4': 12.120896982851576, 'OE5': 12.120896982851576, 'OE6': 0.20610874970464665, 'OE7': 5.806494888890851, 'OE8': 2.6359827245616003, 'OE9': 0.0513052861357588}","{'OE1': 49371, 'OE2': 31012, 'OE3': 31012, 'OE4': 31012, 'OE5': 31012, 'OE6': 30910, 'OE7': 7876, 'OE8': 6397, 'OE9': 6391}"
350,0.10638545944328825,0.000602703954872855,6710526.142212363,346.7338512238764,"{'OE1': 28865.78770658453, 'OE2': 18817.21890458452, 'OE3': 7764.489493325433, 'OE4': 7764.489493325433, 'OE5': 7764.489493325433, 'OE6': 4753.676600365005, 'OE7': 1181.513036359524, 'OE8': 593.3440312734973, 'OE9': 346.7338512238764}","{'OE1': 9.447263117093318, 'OE2': 4.20857789556085, 'OE3': 4.208567818361232, 'OE4': 12.618634782109808, 'OE5': 12.618634782109808, 'OE6': 0.22625451937208496, 'OE7': 5.858899518637051, 'OE8': 2.704924297613828, 'OE9': 0.04862280515311933}","{'OE1': 49324, 'OE2': 32158, 'OE3': 32158, 'OE4': 32158, 'OE5': 32158, 'OE6': 32038, 'OE7': 7964, 'OE8': 6467, 'OE9': 6457}"
360,0.10835248076546122,0.0005710112564353645,8397335.762459088,410.7287386870679,"{'OE1': 29238.108455835125, 'OE2': 19727.705348324795, 'OE3': 8334.050700451287, 'OE4': 8334.050700451287, 'OE5': 8334.050700451287, 'OE6': 5162.771726896937, 'OE7': 1347.4444275665749, 'OE8': 693.8896873305009, 'OE9': 410.7287386870679}","{'OE1': 9.388814873719722, 'OE2': 4.366323123972535, 'OE3': 4.366332990651443, 'OE4': 13.09432435663345, 'OE5': 13.09432435663345, 'OE6': 0.22748376238818063, 'OE7': 5.8654353271292425, 'OE8': 2.8181524162901854, 'OE9': 0.048333681570339904}","{'OE1': 49330, 'OE2': 33289, 'OE3': 33289, 'OE4': 33289, 'OE5': 33289, 'OE6': 33170, 'OE7': 8663, 'OE8': 7134, 'OE9': 7126}"
370,0.10818071435056709,0.0006114356783851886,11454504.562072871,470.4931209470045,"{'OE1': 30257.43522966969, 'OE2': 21114.62137524993, 'OE3': 9028.87339317512, 'OE4': 9028.87339317512, 'OE5': 9028.87339317512, 'OE6': 5769.770829423351, 'OE7': 1443.1191266562043, 'OE8': 768.4154557650031, 'OE9': 470.4931209470045}","{'OE1': 9.424638956192753, 'OE2': 4.519623218293209, 'OE3': 4.519634369302359, 'OE4': 13.555596400760066, 'OE5': 13.555596400760066, 'OE6': 0.22152764608883146, 'OE7': 5.62629584184943, 'OE8': 2.9895259011294684, 'OE9': 0.05254317597235214}","{'OE1': 49356, 'OE2': 34447, 'OE3': 34447, 'OE4': 34447, 'OE5': 34447, 'OE6': 34333, 'OE7': 8591, 'OE8': 7097, 'OE9': 7092}"
380,0.11970956718528214,0.0006289402457947577,16238214.804840261,586.6309513971944,"{'OE1': 31647.108711568482, 'OE2': 22864.467103356386, 'OE3': 9886.975733292118, 'OE4': 9886.975733292118, 'OE5': 9886.975733292118, 'OE6': 6584.702012222304, 'OE7': 1638.414736819154, 'OE8': 915.9069714223197, 'OE9': 586.6309513971944}","{'OE1': 9.418105640686314, 'OE2': 4.676812954935617, 'OE3': 4.676837202930066, 'OE4': 14.02408801854699, 'OE5': 14.02408801854699, 'OE6': 0.21923139495320798, 'OE7': 5.839969975486878, 'OE8': 3.0904912783143956, 'OE9': 0.05122374877578112}","{'OE1': 49343, 'OE2': 35654, 'OE3': 35654, 'OE4': 35654, 'OE5': 35654, 'OE6': 35543, 'OE7': 8847, 'OE8': 7367, 'OE9': 7361}"
390,0.11681195348393203,0.000618863774277018,21881561.351304956,733.1870566838352,"{'OE1': 32989.26312497074, 'OE2': 24632.94661106789, 'OE3': 10768.072227212177, 'OE4': 10768.072227212177, 'OE5': 10768.072227212177, 'OE6': 7445.657202316496, 'OE7': 1881.884908156973, 'OE8': 1098.8085952043484, 'OE9': 733.1870566838352}","{'OE1': 9.402897404434116, 'OE2': 4.810214945178771, 'OE3': 4.810239073135769, 'OE4': 14.426507387712945, 'OE5': 14.426507387712945, 'OE6': 0.22425479969452689, 'OE7': 5.9786456897433276, 'OE8': 3.1920357916492392, 'OE9': 0.05056527593963692}","{'OE1': 49349, 'OE2': 36853, 'OE3': 36853, 'OE4': 36853, 'OE5': 36853, 'OE6': 36733, 'OE7': 9287, 'OE8': 7782, 'OE9': 7771}"
