"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
5.00000e+1	3.53324e+12
7.99000e+1	4.86651e+12
1.09800e+2	6.04797e+12
1.39700e+2	7.12925e+12
1.69600e+2	8.13618e+12
1.99500e+2	9.08403e+12
2.29400e+2	9.98278e+12
2.59300e+2	1.08394e+13
2.89200e+2	1.16591e+13
3.19100e+2	1.24458e+13
3.49000e+2	1.32026e+13
3.78900e+2	1.39321e+13
4.08800e+2	1.46362e+13
4.38700e+2	1.53169e+13
4.68600e+2	1.59755e+13
4.98500e+2	1.66134e+13
5.28400e+2	1.72317e+13
5.58300e+2	1.78314e+13
5.88200e+2	1.84135e+13
6.18100e+2	1.89786e+13
6.48000e+2	1.95276e+13
6.77900e+2	2.00612e+13
7.07800e+2	2.05798e+13
7.37700e+2	2.10841e+13
7.67600e+2	2.15747e+13
7.97500e+2	2.20519e+13
8.27400e+2	2.25162e+13
8.57300e+2	2.29681e+13
8.87200e+2	2.34080e+13
9.17100e+2	2.38362e+13
9.47000e+2	2.42531e+13
9.76900e+2	2.46589e+13
1.00680e+3	2.50542e+13
1.03670e+3	2.54390e+13
1.06660e+3	2.58138e+13
1.09650e+3	2.61787e+13
1.12640e+3	2.65342e+13
1.15630e+3	2.68803e+13
1.18620e+3	2.72174e+13
1.21610e+3	2.75456e+13
1.24600e+3	2.78653e+13
1.27590e+3	2.81766e+13
1.30580e+3	2.84797e+13
1.33570e+3	2.87748e+13
1.36560e+3	2.90621e+13
1.39550e+3	2.93418e+13
1.42540e+3	2.96141e+13
1.45530e+3	2.98792e+13
1.48520e+3	3.01371e+13
1.51510e+3	3.03882e+13
1.54500e+3	3.06325e+13
1.57490e+3	3.08702e+13
1.60480e+3	3.11014e+13
1.63470e+3	3.13263e+13
1.66460e+3	3.15450e+13
1.69450e+3	3.17577e+13
1.72440e+3	3.19645e+13
1.75430e+3	3.21655e+13
1.78420e+3	3.23609e+13
1.81410e+3	3.25507e+13
1.84400e+3	3.27352e+13
1.87390e+3	3.29143e+13
1.90380e+3	3.30882e+13
1.93370e+3	3.32571e+13
1.96360e+3	3.34210e+13
1.99350e+3	3.35801e+13
2.02340e+3	3.37343e+13
2.05330e+3	3.38840e+13
2.08320e+3	3.40290e+13
2.11310e+3	3.41696e+13
2.14300e+3	3.43059e+13
2.17290e+3	3.44378e+13
2.20280e+3	3.45656e+13
2.23270e+3	3.46892e+13
2.26260e+3	3.48088e+13
2.29250e+3	3.49245e+13
2.32240e+3	3.50363e+13
2.35230e+3	3.51443e+13
2.38220e+3	3.52486e+13
2.41210e+3	3.53493e+13
2.44200e+3	3.54465e+13
2.47190e+3	3.55401e+13
2.50180e+3	3.56303e+13
2.53170e+3	3.57172e+13
2.56160e+3	3.58008e+13
2.59150e+3	3.58812e+13
2.62140e+3	3.59585e+13
2.65130e+3	3.60326e+13
2.68120e+3	3.61037e+13
2.71110e+3	3.61719e+13
2.74100e+3	3.62372e+13
2.77090e+3	3.62996e+13
2.80080e+3	3.63592e+13
2.83070e+3	3.64161e+13
2.86060e+3	3.64703e+13
2.89050e+3	3.65219e+13
2.92040e+3	3.65709e+13
2.95030e+3	3.66174e+13
2.98020e+3	3.66614e+13
3.01010e+3	3.67030e+13
3.04000e+3	3.67422e+13
3.06990e+3	3.67791e+13
3.09980e+3	3.68137e+13
3.12970e+3	3.68460e+13
3.15960e+3	3.68762e+13
3.18950e+3	3.69042e+13
3.21940e+3	3.69301e+13
3.24930e+3	3.69540e+13
3.27920e+3	3.69758e+13
3.30910e+3	3.69956e+13
3.33900e+3	3.70135e+13
3.36890e+3	3.70294e+13
3.39880e+3	3.70435e+13
3.42870e+3	3.70558e+13
3.45860e+3	3.70662e+13
3.48850e+3	3.70749e+13
3.51840e+3	3.70819e+13
3.54830e+3	3.70872e+13
3.57820e+3	3.70908e+13
3.60810e+3	3.70928e+13
3.63800e+3	3.70932e+13
3.66790e+3	3.70920e+13
3.69780e+3	3.70893e+13
3.72770e+3	3.70851e+13
3.75760e+3	3.70795e+13
3.78750e+3	3.70723e+13
3.81740e+3	3.70638e+13
3.84730e+3	3.70539e+13
3.87720e+3	3.70426e+13
3.90710e+3	3.70300e+13
3.93700e+3	3.70161e+13
3.96690e+3	3.70009e+13
3.99680e+3	3.69844e+13
4.02670e+3	3.69668e+13
4.05660e+3	3.69479e+13
4.08650e+3	3.69278e+13
4.11640e+3	3.69066e+13
4.14630e+3	3.68842e+13
4.17620e+3	3.68608e+13
4.20610e+3	3.68362e+13
4.23600e+3	3.68106e+13
4.26590e+3	3.67839e+13
4.29580e+3	3.67562e+13
4.32570e+3	3.67275e+13
4.35560e+3	3.66979e+13
4.38550e+3	3.66672e+13
4.41540e+3	3.66356e+13
4.44530e+3	3.66031e+13
4.47520e+3	3.65697e+13
4.50510e+3	3.65354e+13
4.53500e+3	3.65002e+13
4.56490e+3	3.64642e+13
4.59480e+3	3.64274e+13
4.62470e+3	3.63897e+13
4.65460e+3	3.63512e+13
4.68450e+3	3.63120e+13
4.71440e+3	3.62719e+13
4.74430e+3	3.62312e+13
4.77420e+3	3.61897e+13
4.80410e+3	3.61474e+13
4.83400e+3	3.61045e+13
4.86390e+3	3.60609e+13
4.89380e+3	3.60166e+13
4.92370e+3	3.59716e+13
4.95360e+3	3.59260e+13
4.98350e+3	3.58798e+13
5.01340e+3	3.58329e+13
5.04330e+3	3.57855e+13
5.07320e+3	3.57374e+13
5.10310e+3	3.56888e+13
5.13300e+3	3.56396e+13
5.16290e+3	3.55898e+13
5.19280e+3	3.55395e+13
5.22270e+3	3.54886e+13
5.25260e+3	3.54373e+13
5.28250e+3	3.53854e+13
5.31240e+3	3.53330e+13
5.34230e+3	3.52802e+13
5.37220e+3	3.52269e+13
5.40210e+3	3.51731e+13
5.43200e+3	3.51188e+13
5.46190e+3	3.50641e+13
5.49180e+3	3.50090e+13
5.52170e+3	3.49534e+13
5.55160e+3	3.48975e+13
5.58150e+3	3.48411e+13
5.61140e+3	3.47843e+13
5.64130e+3	3.47272e+13
5.67120e+3	3.46697e+13
5.70110e+3	3.46118e+13
5.73100e+3	3.45535e+13
5.76090e+3	3.44949e+13
5.79080e+3	3.44359e+13
5.82070e+3	3.43767e+13
5.85060e+3	3.43170e+13
5.88050e+3	3.42571e+13
5.91040e+3	3.41969e+13
5.94030e+3	3.41363e+13
5.97020e+3	3.40755e+13
6.00010e+3	3.40144e+13
6.03000e+3	3.39530e+13
6.05990e+3	3.38913e+13
6.08980e+3	3.38294e+13
6.11970e+3	3.37672e+13
6.14960e+3	3.37047e+13
6.17950e+3	3.36420e+13
6.20940e+3	3.35791e+13
6.23930e+3	3.35159e+13
6.26920e+3	3.34525e+13
6.29910e+3	3.33889e+13
6.32900e+3	3.33251e+13
6.35890e+3	3.32610e+13
6.38880e+3	3.31968e+13
6.41870e+3	3.31324e+13
6.44860e+3	3.30677e+13
6.47850e+3	3.30029e+13
6.50840e+3	3.29379e+13
6.53830e+3	3.28728e+13
6.56820e+3	3.28074e+13
6.59810e+3	3.27419e+13
6.62800e+3	3.26763e+13
6.65790e+3	3.26105e+13
6.68780e+3	3.25445e+13
6.71770e+3	3.24785e+13
6.74760e+3	3.24122e+13
6.77750e+3	3.23459e+13
6.80740e+3	3.22794e+13
6.83730e+3	3.22128e+13
6.86720e+3	3.21460e+13
6.89710e+3	3.20792e+13
6.92700e+3	3.20122e+13
6.95690e+3	3.19451e+13
6.98680e+3	3.18780e+13
7.01670e+3	3.18107e+13
7.04660e+3	3.17433e+13
7.07650e+3	3.16759e+13
7.10640e+3	3.16083e+13
7.13630e+3	3.15407e+13
7.16620e+3	3.14730e+13
7.19610e+3	3.14052e+13
7.22600e+3	3.13374e+13
7.25590e+3	3.12695e+13
7.28580e+3	3.12015e+13
7.31570e+3	3.11335e+13
7.34560e+3	3.10654e+13
7.37550e+3	3.09972e+13
7.40540e+3	3.09290e+13
7.43530e+3	3.08607e+13
7.46520e+3	3.07924e+13
7.49510e+3	3.07241e+13
7.52500e+3	3.06557e+13
7.55490e+3	3.05873e+13
7.58480e+3	3.05189e+13
7.61470e+3	3.04504e+13
7.64460e+3	3.03819e+13
7.67450e+3	3.03134e+13
7.70440e+3	3.02448e+13
7.73430e+3	3.01763e+13
7.76420e+3	3.01077e+13
7.79410e+3	3.00391e+13
7.82400e+3	2.99705e+13
7.85390e+3	2.99019e+13
7.88380e+3	2.98333e+13
7.91370e+3	2.97646e+13
7.94360e+3	2.96960e+13
7.97350e+3	2.96274e+13
8.00340e+3	2.95588e+13
8.03330e+3	2.94902e+13
8.06320e+3	2.94216e+13
8.09310e+3	2.93530e+13
8.12300e+3	2.92844e+13
8.15290e+3	2.92159e+13
8.18280e+3	2.91473e+13
8.21270e+3	2.90788e+13
8.24260e+3	2.90103e+13
8.27250e+3	2.89418e+13
8.30240e+3	2.88734e+13
8.33230e+3	2.88049e+13
8.36220e+3	2.87365e+13
8.39210e+3	2.86682e+13
8.42200e+3	2.85998e+13
8.45190e+3	2.85315e+13
8.48180e+3	2.84632e+13
8.51170e+3	2.83950e+13
8.54160e+3	2.83268e+13
8.57150e+3	2.82587e+13
8.60140e+3	2.81906e+13
8.63130e+3	2.81225e+13
8.66120e+3	2.80545e+13
8.69110e+3	2.79865e+13
8.72100e+3	2.79186e+13
8.75090e+3	2.78508e+13
8.78080e+3	2.77829e+13
8.81070e+3	2.77152e+13
8.84060e+3	2.76475e+13
8.87050e+3	2.75798e+13
8.90040e+3	2.75122e+13
8.93030e+3	2.74447e+13
8.96020e+3	2.73772e+13
8.99010e+3	2.73098e+13
9.02000e+3	2.72424e+13
9.04990e+3	2.71752e+13
9.07980e+3	2.71079e+13
9.10970e+3	2.70408e+13
9.13960e+3	2.69737e+13
9.16950e+3	2.69067e+13
9.19940e+3	2.68397e+13
9.22930e+3	2.67728e+13
9.25920e+3	2.67060e+13
9.28910e+3	2.66393e+13
9.31900e+3	2.65727e+13
9.34890e+3	2.65061e+13
9.37880e+3	2.64396e+13
9.40870e+3	2.63731e+13
9.43860e+3	2.63068e+13
9.46850e+3	2.62405e+13
9.49840e+3	2.61743e+13
9.52830e+3	2.61082e+13
9.55820e+3	2.60422e+13
9.58810e+3	2.59762e+13
9.61800e+3	2.59104e+13
9.64790e+3	2.58446e+13
9.67780e+3	2.57789e+13
9.70770e+3	2.57133e+13
9.73760e+3	2.56478e+13
9.76750e+3	2.55824e+13
9.79740e+3	2.55170e+13
9.82730e+3	2.54518e+13
9.85720e+3	2.53866e+13
9.88710e+3	2.53216e+13
9.91700e+3	2.52566e+13
9.94690e+3	2.51917e+13
9.97680e+3	2.51269e+13
1.00067e+4	2.50622e+13
1.00366e+4	2.49976e+13
1.00665e+4	2.49331e+13
1.00964e+4	2.48687e+13
1.01263e+4	2.48044e+13
1.01562e+4	2.47402e+13
1.01861e+4	2.46761e+13
1.02160e+4	2.46121e+13
1.02459e+4	2.45482e+13
1.02758e+4	2.44843e+13
1.03057e+4	2.44206e+13
1.03356e+4	2.43570e+13
1.03655e+4	2.42935e+13
1.03954e+4	2.42301e+13
1.04253e+4	2.41667e+13
1.04552e+4	2.41035e+13
1.04851e+4	2.40404e+13
1.05150e+4	2.39774e+13
1.05449e+4	2.39145e+13
1.05748e+4	2.38517e+13
1.06047e+4	2.37891e+13
1.06346e+4	2.37265e+13
1.06645e+4	2.36640e+13
1.06944e+4	2.36016e+13
1.07243e+4	2.35394e+13
1.07542e+4	2.34772e+13
1.07841e+4	2.34152e+13
1.08140e+4	2.33532e+13
1.08439e+4	2.32914e+13
1.08738e+4	2.32297e+13
