"cff = 2.4, order = 5, 2024-03-18 23:01:29.226855"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
300,0.0745969845165746,0.0004919286175004344,68061851.85774764,209.3389551216672,"{'OE1': 41563.486760313666, 'OE2': 14143.209514809487, 'OE3': 1336.565988631817, 'OE4': 1336.565988631817, 'OE5': 1336.565988631817, 'OE6': 1140.6448870907132, 'OE7': 309.0145682036266, 'OE8': 248.6195562661984, 'OE9': 209.3389551216672}","{'OE1': 9.4344521981215, 'OE2': 2.137952190221327, 'OE3': 2.1379704752475988, 'OE4': 5.128567433497182, 'OE5': 5.128567433497182, 'OE6': 0.21392659653947638, 'OE7': 5.589795279501222, 'OE8': 1.3106815086907018, 'OE9': 0.05140996724685895}","{'OE1': 49338, 'OE2': 16788, 'OE3': 16788, 'OE4': 16788, 'OE5': 16788, 'OE6': 16733, 'OE7': 4536, 'OE8': 4257, 'OE9': 4255}"
310,0.08444852579179951,0.0005352518991670759,24387981.670822974,63.767557066952236,"{'OE1': 35383.965517113254, 'OE2': 13170.693177581592, 'OE3': 664.7250079396651, 'OE4': 664.7250079396651, 'OE5': 664.7250079396651, 'OE6': 490.4557487800782, 'OE7': 127.18046902733849, 'OE8': 89.02062481518779, 'OE9': 63.767557066952236}","{'OE1': 9.378318044033296, 'OE2': 2.3636732686545123, 'OE3': 2.363681193783151, 'OE4': 5.66919478155657, 'OE5': 5.66919478155657, 'OE6': 0.22869477264071195, 'OE7': 5.939349275259657, 'OE8': 1.4638509763076595, 'OE9': 0.055266888493190044}","{'OE1': 49353, 'OE2': 18369, 'OE3': 18369, 'OE4': 18369, 'OE5': 18369, 'OE6': 18315, 'OE7': 4755, 'OE8': 4490, 'OE9': 4488}"
320,0.08739862607967552,0.0005522020768196967,11484896.30910926,26.938737531661822,"{'OE1': 29942.982771248055, 'OE2': 12098.444051217833, 'OE3': 468.08329792956636, 'OE4': 468.08329792956636, 'OE5': 468.08329792956636, 'OE6': 296.9292806295937, 'OE7': 73.53548878828917, 'OE8': 44.46576323736147, 'OE9': 26.938737531661822}","{'OE1': 9.449248676417461, 'OE2': 2.5710418333013916, 'OE3': 2.5710608494451392, 'OE4': 6.165871462920663, 'OE5': 6.165871462920663, 'OE6': 0.2080821384181175, 'OE7': 5.927817708156061, 'OE8': 1.6285666063713222, 'OE9': 0.04948732909057847}","{'OE1': 49353, 'OE2': 19940, 'OE3': 19940, 'OE4': 19940, 'OE5': 19940, 'OE6': 19893, 'OE7': 4929, 'OE8': 4675, 'OE9': 4671}"
330,0.09284806064488293,0.0005640476957337755,9565390.203731408,20.437307568563952,"{'OE1': 27039.759897674754, 'OE2': 11792.684601761264, 'OE3': 468.69875503710193, 'OE4': 468.69875503710193, 'OE5': 468.69875503710193, 'OE6': 270.91171287191077, 'OE7': 67.53899751510959, 'OE8': 37.33115828767621, 'OE9': 20.437307568563952}","{'OE1': 9.382421748180045, 'OE2': 2.769901148221095, 'OE3': 2.7699316728919925, 'OE4': 6.642736658434345, 'OE5': 6.642736658434345, 'OE6': 0.2188316874989299, 'OE7': 5.817355119626008, 'OE8': 1.739538816923563, 'OE9': 0.04891593853719105}","{'OE1': 49337, 'OE2': 21516, 'OE3': 21516, 'OE4': 21516, 'OE5': 21516, 'OE6': 21463, 'OE7': 5356, 'OE8': 5090, 'OE9': 5086}"
340,0.09090140882193509,0.0005581429694663765,14911103.31816322,30.007037285763225,"{'OE1': 27095.664546137366, 'OE2': 12662.235866068473, 'OE3': 675.3242233362344, 'OE4': 675.3242233362344, 'OE5': 675.3242233362344, 'OE6': 390.3821964659121, 'OE7': 98.72287428616345, 'OE8': 54.74519620610526, 'OE9': 30.007037285763225}","{'OE1': 9.401834079644061, 'OE2': 2.9628982824944057, 'OE3': 2.9628890590732055, 'OE4': 7.107848347099491, 'OE5': 7.107848347099491, 'OE6': 0.21363365564790648, 'OE7': 5.870783606521691, 'OE8': 1.8607297984482258, 'OE9': 0.047685308555007924}","{'OE1': 49371, 'OE2': 23071, 'OE3': 23071, 'OE4': 23071, 'OE5': 23071, 'OE6': 23002, 'OE7': 5821, 'OE8': 5539, 'OE9': 5533}"
350,0.10090847009382742,0.0005943230740227332,32417673.01592829,56.97710601264955,"{'OE1': 28865.929448555456, 'OE2': 14214.649923411122, 'OE3': 1085.0466828294957, 'OE4': 1085.0466828294957, 'OE5': 1085.0466828294957, 'OE6': 664.9091227462344, 'OE7': 163.90512227023498, 'OE8': 97.49844364904627, 'OE9': 56.97710601264955}","{'OE1': 9.447263103798708, 'OE2': 3.1448051183807237, 'OE3': 3.1448058636059955, 'OE4': 7.543368090016514, 'OE5': 7.543368090016514, 'OE6': 0.22893180678395986, 'OE7': 5.526571301779365, 'OE8': 1.9661250733368973, 'OE9': 0.04773260787269136}","{'OE1': 49324, 'OE2': 24289, 'OE3': 24289, 'OE4': 24289, 'OE5': 24289, 'OE6': 24216, 'OE7': 5963, 'OE8': 5737, 'OE9': 5729}"
360,0.10112094986357079,0.0005966705574713336,40973110.47115006,66.58397646825183,"{'OE1': 29238.138815241942, 'OE2': 15074.338147729572, 'OE3': 1216.242694699989, 'OE4': 1216.242694699989, 'OE5': 1216.242694699989, 'OE6': 753.8509349437116, 'OE7': 186.61622600895532, 'OE8': 112.48541834651806, 'OE9': 66.58397646825183}","{'OE1': 9.38881487314602, 'OE2': 3.317205575426959, 'OE3': 3.3171901754175934, 'OE4': 7.958929164322342, 'OE5': 7.958929164322342, 'OE6': 0.2214155532480519, 'OE7': 5.69717855586253, 'OE8': 2.096118229911758, 'OE9': 0.05069269722289216}","{'OE1': 49330, 'OE2': 25434, 'OE3': 25434, 'OE4': 25434, 'OE5': 25434, 'OE6': 25354, 'OE7': 6281, 'OE8': 6056, 'OE9': 6048}"
370,0.10677728922996721,0.000580472502293265,59812700.240335196,93.48757482937341,"{'OE1': 30257.44000490934, 'OE2': 16398.018224329702, 'OE3': 1489.3553074810914, 'OE4': 1489.3553074810914, 'OE5': 1489.3553074810914, 'OE6': 952.2976359014964, 'OE7': 246.1384882865229, 'OE8': 152.75406932995395, 'OE9': 93.48757482937341}","{'OE1': 9.424638390071005, 'OE2': 3.4846891376211016, 'OE3': 3.4846886666396344, 'OE4': 8.36133834942261, 'OE5': 8.361338349422653, 'OE6': 0.22197641369857712, 'OE7': 5.781835198093912, 'OE8': 2.1763166216638155, 'OE9': 0.0543195372915055}","{'OE1': 49356, 'OE2': 26750, 'OE3': 26750, 'OE4': 26750, 'OE5': 26750, 'OE6': 26675, 'OE7': 6897, 'OE8': 6642, 'OE9': 6634}"
380,0.1102833613200005,0.0005716566349447978,97686501.55310664,145.75972167893107,"{'OE1': 31647.11282297102, 'OE2': 18003.261551997028, 'OE3': 1950.010285661184, 'OE4': 1950.0102856611843, 'OE5': 1950.0102856611843, 'OE6': 1299.1887491127222, 'OE7': 351.6299407268075, 'OE8': 227.61097350674652, 'OE9': 145.75972167893107}","{'OE1': 9.41810552542323, 'OE2': 3.6558158138740726, 'OE3': 3.655789853144938, 'OE4': 8.770096143335934, 'OE5': 8.770096143335934, 'OE6': 0.21747533096168276, 'OE7': 5.909453430952299, 'OE8': 2.2695784019486, 'OE9': 0.049868967947786155}","{'OE1': 49343, 'OE2': 28072, 'OE3': 28072, 'OE4': 28072, 'OE5': 28072, 'OE6': 27994, 'OE7': 7579, 'OE8': 7309, 'OE9': 7301}"
390,0.11684113803403307,0.0006012712504299928,152160036.30225196,203.45552758399998,"{'OE1': 32989.26333140557, 'OE2': 19549.10540188242, 'OE3': 2541.732621730703, 'OE4': 2541.732621730703, 'OE5': 2541.732621730703, 'OE6': 1758.2821954695266, 'OE7': 454.05808164214363, 'OE8': 305.0301855283251, 'OE9': 203.45552758399998}","{'OE1': 9.402897631068686, 'OE2': 3.8017595450905866, 'OE3': 3.8017390665070323, 'OE4': 9.121242419741208, 'OE5': 9.121242419741208, 'OE6': 0.21946178068299893, 'OE7': 5.823652841601165, 'OE8': 2.3212952418566033, 'OE9': 0.0435094255308095}","{'OE1': 49349, 'OE2': 29246, 'OE3': 29246, 'OE4': 29246, 'OE5': 29246, 'OE6': 29163, 'OE7': 7533, 'OE8': 7263, 'OE9': 7250}"
400,0.12405880006781445,0.0006226550821310184,220295566.72539067,268.0727769421228,"{'OE1': 33982.784340799444, 'OE2': 20798.987824446343, 'OE3': 3139.3406064985966, 'OE4': 3139.3406064985966, 'OE5': 3139.3406064985966, 'OE6': 2233.314470950932, 'OE7': 563.1642165368712, 'OE8': 389.76092723524357, 'OE9': 268.0727769421228}","{'OE1': 9.414555654416096, 'OE2': 3.949593543170126, 'OE3': 3.949572130087411, 'OE4': 9.478220593656289, 'OE5': 9.478220593656289, 'OE6': 0.22319724192604928, 'OE7': 5.816938196607566, 'OE8': 2.4570477803166497, 'OE9': 0.04964284254570048}","{'OE1': 49330, 'OE2': 30195, 'OE3': 30195, 'OE4': 30195, 'OE5': 30195, 'OE6': 30128, 'OE7': 7598, 'OE8': 7345, 'OE9': 7336}"
410,0.12250781112106779,0.0006196205229196871,281398539.7899431,324.1188684601867,"{'OE1': 34636.361769114956, 'OE2': 21902.274037566727, 'OE3': 3595.680209349256, 'OE4': 3595.680209349257, 'OE5': 3595.680209349257, 'OE6': 2599.8714371902997, 'OE7': 657.2035346548141, 'OE8': 462.3142945157141, 'OE9': 324.1188684601867}","{'OE1': 9.412194066486487, 'OE2': 4.09222323641769, 'OE3': 4.0922167096306055, 'OE4': 9.81766615069455, 'OE5': 9.81766615069455, 'OE6': 0.21225337501097719, 'OE7': 5.95169225387469, 'OE8': 2.5354422829654695, 'OE9': 0.0519505165943617}","{'OE1': 49351, 'OE2': 31210, 'OE3': 31210, 'OE4': 31210, 'OE5': 31210, 'OE6': 31120, 'OE7': 7871, 'OE8': 7606, 'OE9': 7597}"
420,0.13216329676970417,0.0006378411740927602,357836327.56701666,379.1205285449773,"{'OE1': 35181.789171128046, 'OE2': 23081.53104070531, 'OE3': 4076.7364379939536, 'OE4': 4076.7364379939536, 'OE5': 4076.7364379939536, 'OE6': 2989.6776071274803, 'OE7': 745.7739802871365, 'OE8': 532.728909856681, 'OE9': 379.1205285449773}","{'OE1': 9.404901719780323, 'OE2': 4.227806320102134, 'OE3': 4.227808246915004, 'OE4': 10.14270785397602, 'OE5': 10.14270785397602, 'OE6': 0.22830751021763712, 'OE7': 5.877199599158779, 'OE8': 2.5687328388235935, 'OE9': 0.0538943817125484}","{'OE1': 49361, 'OE2': 32387, 'OE3': 32387, 'OE4': 32387, 'OE5': 32387, 'OE6': 32298, 'OE7': 8060, 'OE8': 7801, 'OE9': 7789}"
