"cff = 1.8, order = 2, 2024-03-18 20:23:49.248961"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
300,0.14007868977734006,0.0009693189144672943,5468484385.47845,1995.6621876804488,"{'OE1': 41557.13344969662, 'OE2': 41199.0281070893, 'OE3': 13625.73579432461, 'OE4': 13625.73579432461, 'OE5': 13625.73579432461, 'OE6': 11642.44841402835, 'OE7': 2764.9847371082396, 'OE8': 2369.9153500226575, 'OE9': 1995.6621876804488}","{'OE1': 9.434449296197021, 'OE2': 6.433368021401828, 'OE3': 6.433400332725705, 'OE4': 11.578989869348572, 'OE5': 11.578989869348572, 'OE6': 0.210508601991173, 'OE7': 6.104225437004425, 'OE8': 2.87013128807857, 'OE9': 0.05046974720160019}","{'OE1': 49339, 'OE2': 48914, 'OE3': 48914, 'OE4': 48914, 'OE5': 48914, 'OE6': 48821, 'OE7': 11581, 'OE8': 11581, 'OE9': 11572}"
310,0.14961413892433484,0.000959787482990519,1497444630.871686,527.0106714394013,"{'OE1': 35382.148565361145, 'OE2': 35382.148565361145, 'OE3': 5446.095366775698, 'OE4': 5446.095366775698, 'OE5': 5446.095366775698, 'OE6': 4022.041897754272, 'OE7': 992.5674068898193, 'OE8': 735.6327110665554, 'OE9': 527.0106714394013}","{'OE1': 9.415332401566195, 'OE2': 6.534165102715429, 'OE3': 6.534110503723495, 'OE4': 11.756184080024951, 'OE5': 11.756184080024951, 'OE6': 0.2212156129356253, 'OE7': 5.953265555208098, 'OE8': 2.899946419381655, 'OE9': 0.05313523545430021}","{'OE1': 49351, 'OE2': 49351, 'OE3': 49351, 'OE4': 49351, 'OE5': 49351, 'OE6': 49259, 'OE7': 12163, 'OE8': 12163, 'OE9': 12147}"
320,0.1557518256017829,0.0009317321217849894,548124764.1793453,189.51455666147535,"{'OE1': 29941.836307881145, 'OE2': 29941.836307881145, 'OE3': 2975.819241044468, 'OE4': 2975.8192410444685, 'OE5': 2975.8192410444685, 'OE6': 1889.1905779261713, 'OE7': 490.4774415134583, 'OE8': 312.63704668211477, 'OE9': 189.51455666147535}","{'OE1': 9.449244897701451, 'OE2': 6.541823665360157, 'OE3': 6.541780932219869, 'OE4': 11.768853771924913, 'OE5': 11.768853771924913, 'OE6': 0.21280179144602507, 'OE7': 6.066420975525352, 'OE8': 2.8411613678400673, 'OE9': 0.05384562668877657}","{'OE1': 49353, 'OE2': 49353, 'OE3': 49353, 'OE4': 49353, 'OE5': 49353, 'OE6': 49284, 'OE7': 12797, 'OE8': 12797, 'OE9': 12779}"
330,0.1654168091178576,0.0009981453524343317,351204540.0113991,108.30414513579136,"{'OE1': 27039.433006230425, 'OE2': 27039.433006230425, 'OE3': 2414.9996180111307, 'OE4': 2414.9996180111307, 'OE5': 2414.9996180111307, 'OE6': 1396.6828491951853, 'OE7': 339.82117841091446, 'OE8': 197.57465186060062, 'OE9': 108.30414513579136}","{'OE1': 9.382430222165757, 'OE2': 6.537442284205728, 'OE3': 6.537372943560703, 'OE4': 11.762085748372794, 'OE5': 11.762085748372794, 'OE6': 0.2210293252895058, 'OE7': 5.882592035133355, 'OE8': 2.8981956144988, 'OE9': 0.0523458629691792}","{'OE1': 49336, 'OE2': 49336, 'OE3': 49336, 'OE4': 49336, 'OE5': 49336, 'OE6': 49252, 'OE7': 11994, 'OE8': 11994, 'OE9': 11984}"
340,0.1726223365338342,0.0009591608330825854,445366544.47389525,136.58361026243333,"{'OE1': 27096.06909931937, 'OE2': 27096.06909931937, 'OE3': 2890.829583089949, 'OE4': 2890.829583089949, 'OE5': 2890.829583089949, 'OE6': 1672.9243793129006, 'OE7': 427.15043449211737, 'OE8': 248.82957473683277, 'OE9': 136.58361026243333}","{'OE1': 9.401834499462673, 'OE2': 6.535609421833833, 'OE3': 6.535583012351218, 'OE4': 11.760930112637311, 'OE5': 11.760930112637311, 'OE6': 0.2173688091900704, 'OE7': 5.810195850532791, 'OE8': 2.911019453489695, 'OE9': 0.05204934365738517}","{'OE1': 49371, 'OE2': 49371, 'OE3': 49371, 'OE4': 49371, 'OE5': 49371, 'OE6': 49283, 'OE7': 12596, 'OE8': 12596, 'OE9': 12584}"
350,0.1772937047829828,0.0009809713936660305,817602610.5667936,233.85501963439827,"{'OE1': 28859.381452249305, 'OE2': 28859.381452249305, 'OE3': 4068.853728454932, 'OE4': 4068.853728454932, 'OE5': 4068.853728454932, 'OE6': 2495.188880767474, 'OE7': 646.5863958180198, 'OE8': 399.62245535119973, 'OE9': 233.85501963439827}","{'OE1': 9.44726381147937, 'OE2': 6.535336415918996, 'OE3': 6.535308071377479, 'OE4': 11.758608787698773, 'OE5': 11.758608787698773, 'OE6': 0.22980687047317122, 'OE7': 6.0123119565671, 'OE8': 2.8947201893225394, 'OE9': 0.05191878579197701}","{'OE1': 49324, 'OE2': 49324, 'OE3': 49324, 'OE4': 49324, 'OE5': 49324, 'OE6': 49230, 'OE7': 12737, 'OE8': 12737, 'OE9': 12724}"
360,0.18344873323457023,0.0009861570049546724,954366828.5697293,258.150124815113,"{'OE1': 29238.618545521134, 'OE2': 29238.618545521134, 'OE3': 4353.078528702382, 'OE4': 4353.078528702381, 'OE5': 4353.078528702381, 'OE6': 2701.007131910269, 'OE7': 697.4296378398712, 'OE8': 435.869508641148, 'OE9': 258.150124815113}","{'OE1': 9.388815613162286, 'OE2': 6.541106293229671, 'OE3': 6.541055080147658, 'OE4': 11.771843815206704, 'OE5': 11.771843815206704, 'OE6': 0.2380036634384295, 'OE7': 6.206285579141836, 'OE8': 2.9142138829577253, 'OE9': 0.049511613583851824}","{'OE1': 49330, 'OE2': 49330, 'OE3': 49330, 'OE4': 49330, 'OE5': 49330, 'OE6': 49232, 'OE7': 12722, 'OE8': 12722, 'OE9': 12703}"
370,0.1820229945083156,0.0010016615200239922,1304128486.311926,331.17522350031004,"{'OE1': 30257.399478870793, 'OE2': 30257.39947887079, 'OE3': 5040.5655145289575, 'OE4': 5040.5655145289575, 'OE5': 5040.5655145289575, 'OE6': 3225.5626660130147, 'OE7': 839.3033753591081, 'OE8': 540.6776204214902, 'OE9': 331.17522350031004}","{'OE1': 9.424645166468801, 'OE2': 6.540607454034898, 'OE3': 6.540546171676445, 'OE4': 11.770295295014524, 'OE5': 11.770295295014524, 'OE6': 0.20565914555686943, 'OE7': 5.770020450092892, 'OE8': 2.8993104028265604, 'OE9': 0.05098119723361205}","{'OE1': 49356, 'OE2': 49356, 'OE3': 49356, 'OE4': 49356, 'OE5': 49356, 'OE6': 49261, 'OE7': 12825, 'OE8': 12825, 'OE9': 12807}"
380,0.2001765610179973,0.0009942454080924348,1925914698.9039276,470.6868502982854,"{'OE1': 31647.729986892427, 'OE2': 31647.729986892427, 'OE3': 6163.448428680191, 'OE4': 6163.448428680192, 'OE5': 6163.448428680192, 'OE6': 4110.162574842811, 'OE7': 1094.553834815101, 'OE8': 734.416822716956, 'OE9': 470.6868502982854}","{'OE1': 9.418106032828563, 'OE2': 6.414395070556168, 'OE3': 6.414379434653249, 'OE4': 11.781333715628959, 'OE5': 11.781333715628959, 'OE6': 0.21705939123340712, 'OE7': 6.086931209447675, 'OE8': 2.8992874046998858, 'OE9': 0.052280586700974574}","{'OE1': 49344, 'OE2': 49344, 'OE3': 49344, 'OE4': 49344, 'OE5': 49344, 'OE6': 49254, 'OE7': 13123, 'OE8': 13123, 'OE9': 13107}"
390,0.20479814001555496,0.0010230589361885205,2751649002.6037555,624.7451750139873,"{'OE1': 32989.25335095671, 'OE2': 32989.25335095671, 'OE3': 7487.353021857259, 'OE4': 7487.353021857259, 'OE5': 7487.353021857259, 'OE6': 5183.693975351154, 'OE7': 1343.1923219948217, 'OE8': 935.565861796278, 'OE9': 624.7451750139873}","{'OE1': 9.402887717895412, 'OE2': 6.5430893915551955, 'OE3': 6.543069734509478, 'OE4': 11.775535380690423, 'OE5': 11.775535380690423, 'OE6': 0.22257457028460015, 'OE7': 5.619701093628239, 'OE8': 2.8949827512469453, 'OE9': 0.04436761133252198}","{'OE1': 49349, 'OE2': 49349, 'OE3': 49349, 'OE4': 49349, 'OE5': 49349, 'OE6': 49249, 'OE7': 12767, 'OE8': 12767, 'OE9': 12748}"
