"cff = 2.0, order = 3, 2024-03-13 10:29:28.574134"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
101.0,0,0.0,0.0,0,"{'OE1': 48987.84312244332, 'OE2': 0.0, 'OE3': 0.0, 'OE4': 0.0, 'OE5': 0.0, 'OE6': 0.0, 'OE7': 0.0, 'OE8': 0.0, 'OE9': 0.0}","{'OE1': 9.466378394406991, 'OE2': 0, 'OE3': 0, 'OE4': 0, 'OE5': 0, 'OE6': 0, 'OE7': 0, 'OE8': 0, 'OE9': 0}",0
151.0,0,0.0,0.0,0,"{'OE1': 48180.830278798276, 'OE2': 1093.913498800719, 'OE3': 928.093239335638, 'OE4': 928.093239335638, 'OE5': 928.093239335638, 'OE6': 906.7224858041828, 'OE7': 836.1546250209451, 'OE8': 819.0950836542888, 'OE9': 800.1035883328082}","{'OE1': 9.424125573335967, 'OE2': 0.11379185313947993, 'OE3': 0.11380707119271083, 'OE4': 0.23460545497815044, 'OE5': 0.23460545497815044, 'OE6': 0.18003520140650944, 'OE7': 5.465088436709168, 'OE8': 0.11152835700951158, 'OE9': 0.056617309658496776}",0
201.0,0.0563367109665478,0.0005694624152391188,2276682768.9451637,2873.765575020576,"{'OE1': 47170.03474676219, 'OE2': 16764.47440656587, 'OE3': 12431.85195324052, 'OE4': 12431.85195324052, 'OE5': 12431.85195324052, 'OE6': 11907.660150677813, 'OE7': 3129.9752029521615, 'OE8': 3007.0945589776766, 'OE9': 2873.765575020576}","{'OE1': 9.438720583106925, 'OE2': 2.2426947218516844, 'OE3': 2.2426859889927684, 'OE4': 4.48371003103675, 'OE5': 4.48371003103675, 'OE6': 0.22618022821143624, 'OE7': 5.648154660326888, 'OE8': 1.1801862720951537, 'OE9': 0.046917480736808015}","{'OE1': 49351, 'OE2': 17539, 'OE3': 17539, 'OE4': 17539, 'OE5': 17539, 'OE6': 17503, 'OE7': 4601, 'OE8': 4601, 'OE9': 4600}"
251.0,0.08338639807982418,0.0006511010913417054,3323773928.5320582,3320.692030418596,"{'OE1': 45850.256060352855, 'OE2': 26031.615158495937, 'OE3': 15844.618189964744, 'OE4': 15844.618189964744, 'OE5': 15844.618189964744, 'OE6': 14785.90312504537, 'OE7': 3821.978822103624, 'OE8': 3579.9592836110955, 'OE9': 3320.692030418596}","{'OE1': 9.414416365757083, 'OE2': 3.645124436123538, 'OE3': 3.6451417265086405, 'OE4': 7.286161989470216, 'OE5': 7.286161989470216, 'OE6': 0.22073271152146, 'OE7': 5.866334759753785, 'OE8': 1.8894701340188402, 'OE9': 0.04810362315319633}","{'OE1': 49329, 'OE2': 28007, 'OE3': 28007, 'OE4': 28007, 'OE5': 28007, 'OE6': 27929, 'OE7': 7220, 'OE8': 7220, 'OE9': 7205}"
301.0,0.1127061125655473,0.0007026285466741514,1324958541.5361507,904.732596226417,"{'OE1': 41142.76542596112, 'OE2': 29803.613115463435, 'OE3': 5807.606064590514, 'OE4': 5807.606064590514, 'OE5': 5807.606064590514, 'OE6': 4917.631262456486, 'OE7': 1278.273506877998, 'OE8': 1085.5486139260584, 'OE9': 904.732596226417}","{'OE1': 9.434424043077916, 'OE2': 4.679952592746236, 'OE3': 4.679946299261367, 'OE4': 9.35616694600813, 'OE5': 9.35616694600813, 'OE6': 0.2153954821072821, 'OE7': 5.991318490297438, 'OE8': 2.3896361420105117, 'OE9': 0.05241020366951288}","{'OE1': 49339, 'OE2': 35742, 'OE3': 35742, 'OE4': 35742, 'OE5': 35742, 'OE6': 35676, 'OE7': 9279, 'OE8': 9279, 'OE9': 9272}"
351.0,0.13682867362661,0.0007880987222080274,323111545.3027571,151.53276487910918,"{'OE1': 28891.477487570017, 'OE2': 24700.59531923764, 'OE3': 2697.7455098182654, 'OE4': 2697.7455098182654, 'OE5': 2697.7455098182654, 'OE6': 1654.798086034602, 'OE7': 418.71981369338147, 'OE8': 258.93634206759424, 'OE9': 151.53276487910918}","{'OE1': 9.447248884660517, 'OE2': 5.612101544702922, 'OE3': 5.612076666068781, 'OE4': 11.222641702159198, 'OE5': 11.222641702159198, 'OE6': 0.2352685384817088, 'OE7': 5.834204874896381, 'OE8': 2.749100795151059, 'OE9': 0.05036546809521056}","{'OE1': 49333, 'OE2': 42182, 'OE3': 42182, 'OE4': 42182, 'OE5': 42182, 'OE6': 42078, 'OE7': 10655, 'OE8': 10655, 'OE9': 10640}"
401.0,0.17196739548666073,0.0008746380255599928,1736637292.8024747,587.3471806558777,"{'OE1': 34056.38028398005, 'OE2': 32884.5311591193, 'OE3': 6838.660264667064, 'OE4': 6838.660264667064, 'OE5': 6838.660264667064, 'OE6': 4875.716652927856, 'OE7': 1187.068016839434, 'OE8': 851.2189945287503, 'OE9': 587.3471806558777}","{'OE1': 9.439404472503695, 'OE2': 6.273917149405384, 'OE3': 6.273934380405933, 'OE4': 12.546393955708453, 'OE5': 12.546393955708453, 'OE6': 0.2198520708129248, 'OE7': 5.770474213239017, 'OE8': 3.1332979431829973, 'OE9': 0.05275315836199862}","{'OE1': 49329, 'OE2': 47633, 'OE3': 47633, 'OE4': 47633, 'OE5': 47633, 'OE6': 47538, 'OE7': 11579, 'OE8': 11579, 'OE9': 11568}"
451.0,0.19524069950648482,0.0009040635201469444,3778069005.858808,1033.2169599398383,"{'OE1': 36220.65969983953, 'OE2': 36220.65969983953, 'OE3': 9951.403680653775, 'OE4': 9951.403680653777, 'OE5': 9951.403680653777, 'OE6': 7500.15847613834, 'OE7': 1858.7509933263705, 'OE8': 1408.0296983224764, 'OE9': 1033.2169599398383}","{'OE1': 9.470510675257856, 'OE2': 6.540684676733315, 'OE3': 6.540649112055018, 'OE4': 13.080097297639774, 'OE5': 13.080097297639774, 'OE6': 0.22057063154671508, 'OE7': 5.862547689248348, 'OE8': 3.229517688702895, 'OE9': 0.048554098712196514}","{'OE1': 49339, 'OE2': 49339, 'OE3': 49339, 'OE4': 49339, 'OE5': 49339, 'OE6': 49223, 'OE7': 12204, 'OE8': 12204, 'OE9': 12193}"
501.0,0.23147297017203528,0.0009273461394483609,4892318713.134412,1136.8974495094044,"{'OE1': 36287.16846199716, 'OE2': 36287.16846199716, 'OE3': 10520.467660642425, 'OE4': 10520.467660642425, 'OE5': 10520.467660642425, 'OE6': 7948.5102150881385, 'OE7': 2038.213335039903, 'OE8': 1546.4457120334978, 'OE9': 1136.8974495094044}","{'OE1': 9.404783256837163, 'OE2': 6.546517639506934, 'OE3': 6.5465215177137885, 'OE4': 13.08517833808104, 'OE5': 13.08517833808104, 'OE6': 0.2094053497031516, 'OE7': 6.000909150283279, 'OE8': 3.2462308279311016, 'OE9': 0.050530340856984185}","{'OE1': 49327, 'OE2': 49327, 'OE3': 49327, 'OE4': 49327, 'OE5': 49327, 'OE6': 49233, 'OE7': 12631, 'OE8': 12631, 'OE9': 12615}"
551.0,0.2654422660569935,0.0009702323878778826,7657895010.53572,1527.1541010958117,"{'OE1': 37500.188812662695, 'OE2': 37500.188812662695, 'OE3': 12954.60799146335, 'OE4': 12954.60799146335, 'OE5': 12954.60799146335, 'OE6': 10080.52715601026, 'OE7': 2574.156132160366, 'OE8': 2011.3518935804186, 'OE9': 1527.1541010958117}","{'OE1': 9.403969106707807, 'OE2': 6.546195184321002, 'OE3': 6.546241811900969, 'OE4': 13.085167946375652, 'OE5': 13.085167946375652, 'OE6': 0.23364194610140554, 'OE7': 5.811462962383034, 'OE8': 3.2267884583859416, 'OE9': 0.05315580625423283}","{'OE1': 49334, 'OE2': 49334, 'OE3': 49334, 'OE4': 49334, 'OE5': 49334, 'OE6': 49227, 'OE7': 12574, 'OE8': 12574, 'OE9': 12557}"
