"cff = 1.4, order = 2, 2024-03-07 15:55:07.163821"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict
101,0,0.0,0.0,0,"{'OE1': 48987.84312244332, 'OE2': 0.0, 'OE3': 0.0, 'OE4': 0.0, 'OE5': 0.0, 'OE6': 0.0, 'OE7': 0.0, 'OE8': 0.0, 'OE9': 0.0}"
151,0.044903118135266595,0.0007139599150311508,16939568.131422937,6.152960300081154,"{'OE1': 48181.80954502656, 'OE2': 65.44421394947325, 'OE3': 40.021883795647504, 'OE4': 40.02188379564751, 'OE5': 40.02188379564751, 'OE6': 39.1442706396628, 'OE7': 6.424355029800324, 'OE8': 6.293367478470737, 'OE9': 6.152960300081154}"
201,0.053856559164728424,0.0005247111707339132,1012988414.5159855,843.4721480538677,"{'OE1': 47170.034241413494, 'OE2': 15775.265422347635, 'OE3': 4175.084289484813, 'OE4': 4175.084289484813, 'OE5': 4175.084289484813, 'OE6': 4001.198596663376, 'OE7': 922.1097346667427, 'OE8': 885.9241971100953, 'OE9': 843.4721480538677}"
251,0.06712346733911545,0.0005260175018168907,1510845761.3145375,1411.8519002024552,"{'OE1': 45850.25709375614, 'OE2': 25233.26029904396, 'OE3': 6800.389896950264, 'OE4': 6800.389896950264, 'OE5': 6800.389896950264, 'OE6': 6350.589300157728, 'OE7': 1627.9505027905286, 'OE8': 1524.892338335451, 'OE9': 1411.8519002024552}"
301,0.08542857713905505,0.0005231176516076252,1809120330.3533711,1477.4362121466079,"{'OE1': 41138.66594751035, 'OE2': 29126.64677244168, 'OE3': 8840.353103214236, 'OE4': 8840.353103214236, 'OE5': 8840.353103214236, 'OE6': 7490.095236231212, 'OE7': 2093.359152107382, 'OE8': 1777.8107931314169, 'OE9': 1477.4362121466079}"
351,0.11054451802630183,0.000631568380433633,798793877.4716682,465.1306901301434,"{'OE1': 28891.476536763712, 'OE2': 24234.86323323446, 'OE3': 8365.721407122497, 'OE4': 8365.721407122497, 'OE5': 8365.721407122497, 'OE6': 5133.6167874741195, 'OE7': 1287.407643883671, 'OE8': 796.2398024695573, 'OE9': 465.1306901301434}"
401,0.138893931795792,0.0006755246602139558,2290544634.407827,1067.4669674015722,"{'OE1': 34056.38364968998, 'OE2': 32347.14788584347, 'OE3': 12059.885032984475, 'OE4': 12059.885032984475, 'OE5': 12059.885032984475, 'OE6': 8601.67242409768, 'OE7': 2163.1928160491784, 'OE8': 1551.3556590155267, 'OE9': 1067.4669674015722}"
451,0.15890109401846075,0.0007158603256571071,3904891764.7491713,1505.1872444082073,"{'OE1': 36220.66446553455, 'OE2': 36220.66446553455, 'OE3': 14325.525658961958, 'OE4': 14325.525658961958, 'OE5': 14325.525658961958, 'OE6': 10801.951898947342, 'OE7': 2714.7245435566515, 'OE8': 2056.6385872636884, 'OE9': 1505.1872444082073}"
501,0.20737014915255259,0.000770041133615403,4645752649.010273,1522.1344484630295,"{'OE1': 36288.66115478556, 'OE2': 36288.66115478556, 'OE3': 14662.088604617866, 'OE4': 14662.088604617866, 'OE5': 14662.088604617866, 'OE6': 11082.116306984637, 'OE7': 2736.107672921289, 'OE8': 2076.1596557445237, 'OE9': 1522.1344484630295}"
551,0.2297020969388086,0.000803137342290443,5940296856.668186,1771.1051388663104,"{'OE1': 37491.844268137844, 'OE2': 37491.844268137844, 'OE3': 15526.180274430746, 'OE4': 15526.180274430746, 'OE5': 15526.180274430746, 'OE6': 12086.528902788461, 'OE7': 2992.0105972126926, 'OE8': 2338.053215417049, 'OE9': 1771.1051388663104}"
