"cff = 1.4, order = 1, 2024-03-08 11:19:09.930519"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict
101,0.026132798294398185,0.0004929354348689123,3004651169.7681794,3639.4600085126112,"{'OE1': 48986.86065343197, 'OE2': 16471.200762397126, 'OE3': 15345.52741161628, 'OE4': 15345.527411616282, 'OE5': 15345.527411616282, 'OE6': 15200.423114225443, 'OE7': 3707.0551091002144, 'OE8': 3684.120882689337, 'OE9': 3639.4600085126112}"
151,0.04200664520396913,0.0005468180050000541,6130813798.309627,6352.12111113116,"{'OE1': 48181.80892101603, 'OE2': 34370.299881450745, 'OE3': 25259.533028354024, 'OE4': 25259.533028354024, 'OE5': 25259.533028354024, 'OE6': 24682.52585738861, 'OE7': 6655.106633415555, 'OE8': 6520.375690551429, 'OE9': 6352.12111113116}"
201,0.0696512291431759,0.0006585283060288776,1429645521.9475384,4327.088356517127,"{'OE1': 47170.03574109177, 'OE2': 44816.53195407169, 'OE3': 19176.926651722857, 'OE4': 19176.926651722857, 'OE5': 19176.926651722857, 'OE6': 18375.313390278905, 'OE7': 4728.301340190032, 'OE8': 4542.96815315891, 'OE9': 4327.088356517127}"
251,0.09273344383080939,0.0007798724853597899,1454107257.3651721,3874.436477528559,"{'OE1': 45861.41319220477, 'OE2': 45861.41319220477, 'OE3': 19630.1787263512, 'OE4': 19630.1787263512, 'OE5': 19630.1787263512, 'OE6': 18336.570679686443, 'OE7': 4464.890566999061, 'OE8': 4182.2066542933335, 'OE9': 3874.436477528559}"
301,0.12338297086455441,0.0008217983403758194,1302629771.9912446,2841.3405236227563,"{'OE1': 41141.879342580585, 'OE2': 41141.879342580585, 'OE3': 18910.155817991286, 'OE4': 18910.155817991294, 'OE5': 18910.155817991294, 'OE6': 16019.056225038385, 'OE7': 4024.0583165322223, 'OE8': 3417.437389659234, 'OE9': 2841.3405236227563}"
351,0.16322974710931248,0.0009120861136729052,435440514.47844994,787.6305919452134,"{'OE1': 28892.062810317475, 'OE2': 28892.062810317475, 'OE3': 14471.3065601844, 'OE4': 14471.3065601844, 'OE5': 14471.3065601844, 'OE6': 8880.857973456947, 'OE7': 2179.3070753812462, 'OE8': 1347.6693150979827, 'OE9': 787.6305919452134}"
401,0.19337070893044483,0.0009709545600967011,965309779.4559716,1563.1156652342836,"{'OE1': 34056.38029488398, 'OE2': 34056.38029488398, 'OE3': 18013.888247261886, 'OE4': 18013.888247261886, 'OE5': 18013.888247261886, 'OE6': 12847.898941741243, 'OE7': 3167.620735504155, 'OE8': 2271.595326110219, 'OE9': 1563.1156652342836}"
451,0.22605897140908837,0.0010171257383427713,1392192115.6542168,2087.5537840015804,"{'OE1': 36220.65778495226, 'OE2': 36220.65778495226, 'OE3': 20026.29926641107, 'OE4': 20026.29926641107, 'OE5': 20026.29926641107, 'OE6': 15100.473585859696, 'OE7': 3764.6598192202523, 'OE8': 2852.0470432710063, 'OE9': 2087.5537840015804}"
501,0.2602127062912132,0.001130425130979407,1562004024.5060809,2045.2962323040585,"{'OE1': 36287.14105644452, 'OE2': 36287.14105644452, 'OE3': 20444.413105716478, 'OE4': 20444.413105716478, 'OE5': 20444.413105716478, 'OE6': 15452.92083144968, 'OE7': 3677.2876333388144, 'OE8': 2790.326971980184, 'OE9': 2045.2962323040585}"
551,0.31287881257162553,0.0011754008086032849,1981306401.3481004,2369.2951342825672,"{'OE1': 37500.17896858021, 'OE2': 37500.178968580214, 'OE3': 21509.817872536212, 'OE4': 21509.817872536212, 'OE5': 21509.817872536212, 'OE6': 16744.191579956645, 'OE7': 4003.850968156377, 'OE8': 3128.731590414038, 'OE9': 2369.2951342825672}"
601,0.3834097346825729,0.0012232971616701407,2404498417.3001776,2544.245911394501,"{'OE1': 38046.45484001195, 'OE2': 38046.45484001195, 'OE3': 22122.734099264024, 'OE4': 22122.734099264024, 'OE5': 22122.734099264024, 'OE6': 17448.84966932401, 'OE7': 4183.040288452735, 'OE8': 3310.9546950640924, 'OE9': 2544.245911394501}"
651,0.4167010350795408,0.0012865452592087769,3003374719.2932944,2707.702623811874,"{'OE1': 38380.94853642511, 'OE2': 38380.948536425116, 'OE3': 22879.566228694082, 'OE4': 22879.566228694082, 'OE5': 22879.566228694082, 'OE6': 18200.636046470387, 'OE7': 4374.66444276575, 'OE8': 3490.7848779375954, 'OE9': 2707.702623811874}"
701,0.44592475797628595,0.0012513914628337322,3717918048.3049545,3014.3464679402946,"{'OE1': 38873.01267551888, 'OE2': 38873.01267551888, 'OE3': 23531.87966650165, 'OE4': 23531.879666501653, 'OE5': 23531.879666501653, 'OE6': 18917.264058572284, 'OE7': 4765.267663158551, 'OE8': 3842.4760787829155, 'OE9': 3014.3464679402946}"
751,0.5345439471830105,0.0013507917165987797,4495579674.45738,2998.7112633690713,"{'OE1': 39197.10623483165, 'OE2': 39197.10623483164, 'OE3': 23711.27499086078, 'OE4': 23711.27499086078, 'OE5': 23711.27499086078, 'OE6': 19218.753831148864, 'OE7': 4661.143127688421, 'OE8': 3788.937383625672, 'OE9': 2998.7112633690713}"
801,0.5853515471189894,0.0013814480521372804,5473041234.851679,3190.3213775424438,"{'OE1': 39432.65102586916, 'OE2': 39432.65102586916, 'OE3': 24334.165924686076, 'OE4': 24334.165924686076, 'OE5': 24334.165924686076, 'OE6': 19852.622971616463, 'OE7': 4892.65967202623, 'OE8': 4002.4461017603753, 'OE9': 3190.3213775424438}"
851,0.6392080722469018,0.0014136498987823063,6411572836.005148,3281.2129311731424,"{'OE1': 39670.66965799525, 'OE2': 39670.66965799525, 'OE3': 24785.389329035024, 'OE4': 24785.389329035024, 'OE5': 24785.389329035024, 'OE6': 20310.64613312071, 'OE7': 4983.161978999952, 'OE8': 4093.7701862359404, 'OE9': 3281.2129311731424}"
901,0.6188267641427956,0.001446116184629202,7558084936.688266,3411.9802429826495,"{'OE1': 39840.76708527081, 'OE2': 39840.76708527081, 'OE3': 25136.419586128173, 'OE4': 25136.41958612817, 'OE5': 25136.41958612817, 'OE6': 20686.88487007699, 'OE7': 5137.984655059599, 'OE8': 4238.165790448545, 'OE9': 3411.9802429826495}"
951,0.7399128864362865,0.0014925251511580175,7876086663.486927,3157.74304853572,"{'OE1': 39307.57934816993, 'OE2': 39307.57934816993, 'OE3': 24460.809465032522, 'OE4': 24410.20078054911, 'OE5': 24410.20078054911, 'OE6': 19851.426532076002, 'OE7': 4874.667934329445, 'OE8': 3974.3139651033516, 'OE9': 3157.74304853572}"
1001,0.7340305452653411,0.0014843876547211102,8172688602.126634,3057.9799603003667,"{'OE1': 38821.64053569891, 'OE2': 38821.640535698905, 'OE3': 23832.611754054375, 'OE4': 23342.31553847348, 'OE5': 23342.31553847348, 'OE6': 18775.130933125725, 'OE7': 4839.201615916501, 'OE8': 3900.928694519035, 'OE9': 3057.9799603003667}"
1051,0.8265062024213421,0.0015388879044969592,8878872422.887074,3001.4729726202168,"{'OE1': 38933.275776789, 'OE2': 38933.275776789, 'OE3': 24066.989251066487, 'OE4': 23065.476576967172, 'OE5': 23065.476576967172, 'OE6': 18591.38000238032, 'OE7': 4723.907612900932, 'OE8': 3817.4034209279316, 'OE9': 3001.4729726202168}"
1101,0.8517319667816992,0.001609060390134431,9448178102.400703,2905.0475057330364,"{'OE1': 39031.43496659457, 'OE2': 39031.43496659457, 'OE3': 24292.906080013767, 'OE4': 22760.529936834137, 'OE5': 22760.529936834137, 'OE6': 18399.843489370578, 'OE7': 4545.378113118049, 'OE8': 3682.747384125245, 'OE9': 2905.0475057330364}"
1151,0.8832238829097605,0.0016352478979340208,9749173620.942757,2892.6752521341855,"{'OE1': 39124.14909786339, 'OE2': 39124.14909786339, 'OE3': 24513.531336004562, 'OE4': 22521.195373532297, 'OE5': 22521.195373532297, 'OE6': 18249.544273113406, 'OE7': 4510.824194071931, 'OE8': 3663.2347638034203, 'OE9': 2892.6752521341855}"
1201,0.9300995954781683,0.0016185559646454645,9669620693.5687,2930.2108221028366,"{'OE1': 39194.08841392424, 'OE2': 39194.08841392424, 'OE3': 24717.30054247436, 'OE4': 22318.746082464455, 'OE5': 22318.746082464455, 'OE6': 18112.78379135305, 'OE7': 4551.942741438454, 'OE8': 3701.8619343725095, 'OE9': 2930.2108221028366}"
1251,0.9921789519180493,0.0015627865024989813,9471367778.864914,3116.4134781962425,"{'OE1': 39247.4561623075, 'OE2': 39247.4561623075, 'OE3': 24828.84414990614, 'OE4': 22026.27600793232, 'OE5': 22026.27600793232, 'OE6': 17894.6337081155, 'OE7': 4827.983460659816, 'OE8': 3931.9679856703638, 'OE9': 3116.4134781962425}"
