"cff = 1.4, order = 1, 2024-03-07 16:18:37.155483"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict
101,0.026132798294398185,0.0004929354348689123,31351521149.51452,3639.4600085126112,"{'OE1': 48986.86065343197, 'OE2': 16471.200762397126, 'OE3': 15345.52741161628, 'OE4': 15345.527411616282, 'OE5': 15345.527411616282, 'OE6': 15200.423114225443, 'OE7': 3707.0551091002144, 'OE8': 3684.120882689337, 'OE9': 3639.4600085126112}"
151,0.04200664520396913,0.0005468180050000541,105849192621.80176,6352.12111113116,"{'OE1': 48181.80892101603, 'OE2': 34370.299881450745, 'OE3': 25259.533028354024, 'OE4': 25259.533028354024, 'OE5': 25259.533028354024, 'OE6': 24682.52585738861, 'OE7': 6655.106633415555, 'OE8': 6520.375690551429, 'OE9': 6352.12111113116}"
201,0.0696512291431759,0.0006585283060288776,72308648253.3081,4327.088356517128,"{'OE1': 47170.03574109177, 'OE2': 44816.53195407169, 'OE3': 19176.926651722806, 'OE4': 19176.926651722806, 'OE5': 19176.926651722806, 'OE6': 18375.31339027886, 'OE7': 4728.301340190019, 'OE8': 4542.968153158912, 'OE9': 4327.088356517128}"
251,0.09273344383080939,0.0007798724853597899,84231818188.96828,3874.436477528559,"{'OE1': 45861.41319220477, 'OE2': 45861.41319220477, 'OE3': 19630.1787263512, 'OE4': 19630.1787263512, 'OE5': 19630.1787263512, 'OE6': 18336.570679686443, 'OE7': 4464.890566999061, 'OE8': 4182.2066542933335, 'OE9': 3874.436477528559}"
301,0.12338297086455441,0.0008217983403758194,81199818200.54861,2841.340523622789,"{'OE1': 41141.879342580585, 'OE2': 41141.879342580585, 'OE3': 18910.155817991184, 'OE4': 18910.155817991184, 'OE5': 18910.155817991184, 'OE6': 16019.056225038294, 'OE7': 4024.0583165321996, 'OE8': 3417.4373896592742, 'OE9': 2841.340523622789}"
351,0.16322974710931248,0.0009120861136729052,29941649575.9196,787.6305919452134,"{'OE1': 28892.062810317475, 'OE2': 28892.062810317475, 'OE3': 14471.3065601844, 'OE4': 14471.3065601844, 'OE5': 14471.3065601844, 'OE6': 8880.857973456947, 'OE7': 2179.3070753812462, 'OE8': 1347.6693150979827, 'OE9': 787.6305919452134}"
401,0.19337070893044483,0.0009709545600967011,73101518771.37436,1563.1156652343057,"{'OE1': 34056.38029488398, 'OE2': 34056.38029488398, 'OE3': 18013.888247261835, 'OE4': 18013.888247261835, 'OE5': 18013.888247261835, 'OE6': 12847.89894174121, 'OE7': 3167.620735504146, 'OE8': 2271.595326110252, 'OE9': 1563.1156652343057}"
451,0.22605897140908837,0.0010171257383427713,113673154937.00922,2087.5537840015804,"{'OE1': 36220.65778495226, 'OE2': 36220.65778495226, 'OE3': 20026.29926641107, 'OE4': 20026.29926641107, 'OE5': 20026.29926641107, 'OE6': 15100.473585859696, 'OE7': 3764.6598192202523, 'OE8': 2852.0470432710063, 'OE9': 2087.5537840015804}"
501,0.2602127062912132,0.001130425130979407,132618128215.8795,2045.2962323040829,"{'OE1': 36287.14105644452, 'OE2': 36287.14105644452, 'OE3': 20444.41310571642, 'OE4': 20444.41310571642, 'OE5': 20444.41310571642, 'OE6': 15452.920831449634, 'OE7': 3677.287633338804, 'OE8': 2790.3269719802174, 'OE9': 2045.2962323040829}"
551,0.31287881257162553,0.0011754008086032849,166529045503.71628,2369.2951342825672,"{'OE1': 37500.17896858021, 'OE2': 37500.178968580214, 'OE3': 21509.817872536212, 'OE4': 21509.817872536212, 'OE5': 21509.817872536212, 'OE6': 16744.191579956645, 'OE7': 4003.850968156377, 'OE8': 3128.731590414038, 'OE9': 2369.2951342825672}"
601,0.3834097346825729,0.0012232971616701407,190384628035.5724,2544.2459113945242,"{'OE1': 38046.45484001195, 'OE2': 38046.45484001195, 'OE3': 22122.73409926396, 'OE4': 22122.73409926396, 'OE5': 22122.73409926396, 'OE6': 17448.849669323958, 'OE7': 4183.040288452722, 'OE8': 3310.9546950641225, 'OE9': 2544.2459113945242}"
651,0.4167010350795408,0.0012865452592087769,215061748785.42743,2707.702623811874,"{'OE1': 38380.94853642511, 'OE2': 38380.948536425116, 'OE3': 22879.566228694082, 'OE4': 22879.566228694082, 'OE5': 22879.566228694082, 'OE6': 18200.636046470387, 'OE7': 4374.66444276575, 'OE8': 3490.7848779375954, 'OE9': 2707.702623811874}"
701,0.44592475797628595,0.0012513914628337322,233194664095.7854,3014.3464679402946,"{'OE1': 38873.01267551888, 'OE2': 38873.01267551888, 'OE3': 23531.87966650165, 'OE4': 23531.879666501653, 'OE5': 23531.879666501653, 'OE6': 18917.264058572284, 'OE7': 4765.267663158551, 'OE8': 3842.476078782916, 'OE9': 3014.3464679402946}"
751,0.5345439471830105,0.0013507917165987797,245320318564.9246,2998.7112633690713,"{'OE1': 39197.10623483165, 'OE2': 39197.10623483164, 'OE3': 23711.27499086078, 'OE4': 23711.27499086078, 'OE5': 23711.27499086078, 'OE6': 19218.753831148864, 'OE7': 4661.143127688421, 'OE8': 3788.937383625672, 'OE9': 2998.7112633690713}"
801,0.5853515471189894,0.0013814480521372804,258188443356.42453,3190.3213775424438,"{'OE1': 39432.65102586916, 'OE2': 39432.65102586916, 'OE3': 24334.165924686076, 'OE4': 24334.165924686076, 'OE5': 24334.165924686076, 'OE6': 19852.622971616463, 'OE7': 4892.65967202623, 'OE8': 4002.4461017603753, 'OE9': 3190.3213775424438}"
851,0.6392080722469018,0.0014136498987823063,260397851713.0054,3281.2129311731424,"{'OE1': 39670.66965799525, 'OE2': 39670.66965799525, 'OE3': 24785.389329035024, 'OE4': 24785.389329035024, 'OE5': 24785.389329035024, 'OE6': 20310.64613312071, 'OE7': 4983.161978999952, 'OE8': 4093.7701862359404, 'OE9': 3281.2129311731424}"
901,0.6188267641427956,0.001446116184629202,263480750560.4554,3411.9802429823967,"{'OE1': 39840.76708527081, 'OE2': 39840.76708527081, 'OE3': 25136.419586128082, 'OE4': 25136.41958612809, 'OE5': 25136.41958612809, 'OE6': 20686.88487007692, 'OE7': 5137.984655059582, 'OE8': 4238.165790448231, 'OE9': 3411.9802429823967}"
951,0.7399128864362865,0.0014925251511580175,236355756791.84503,3157.74304853572,"{'OE1': 39307.57934816993, 'OE2': 39307.57934816993, 'OE3': 24460.809465032522, 'OE4': 24410.20078054911, 'OE5': 24410.20078054911, 'OE6': 19851.426532076002, 'OE7': 4874.667934329445, 'OE8': 3974.3139651033516, 'OE9': 3157.74304853572}"
1001,0.7340305452653411,0.0014843876547211102,211491055670.20987,3057.9799603003667,"{'OE1': 38821.64053569891, 'OE2': 38821.640535698905, 'OE3': 23832.611754054375, 'OE4': 23342.31553847348, 'OE5': 23342.31553847348, 'OE6': 18775.130933125725, 'OE7': 4839.201615916501, 'OE8': 3900.928694519035, 'OE9': 3057.9799603003667}"
1051,0.8265062024213421,0.0015388879044969592,198110734154.11447,3001.4729726202786,"{'OE1': 38933.275776789, 'OE2': 38933.275776789, 'OE3': 24066.98925106629, 'OE4': 23065.47657696699, 'OE5': 23065.47657696699, 'OE6': 18591.380002380174, 'OE7': 4723.9076129008945, 'OE8': 3817.40342092801, 'OE9': 3001.4729726202786}"
1101,0.8517319667816992,0.001609060390134431,182930602855.31396,2905.0475057330364,"{'OE1': 39031.43496659457, 'OE2': 39031.43496659457, 'OE3': 24292.906080013767, 'OE4': 22760.529936834137, 'OE5': 22760.529936834137, 'OE6': 18399.843489370578, 'OE7': 4545.378113118049, 'OE8': 3682.747384125245, 'OE9': 2905.0475057330364}"
1151,0.8832238829097605,0.0016352478979340208,166723430205.74512,2892.6752521342114,"{'OE1': 39124.14909786339, 'OE2': 39124.14909786339, 'OE3': 24513.531336004562, 'OE4': 22521.195373532297, 'OE5': 22521.195373532297, 'OE6': 18249.544273113406, 'OE7': 4510.824194071931, 'OE8': 3663.234763803453, 'OE9': 2892.6752521342114}"
1201,0.9300995954781683,0.0016185559646454645,149420406717.90738,2930.2108221028375,"{'OE1': 39194.08841392424, 'OE2': 39194.08841392424, 'OE3': 24717.30054247436, 'OE4': 22318.746082464455, 'OE5': 22318.746082464455, 'OE6': 18112.78379135305, 'OE7': 4551.942741438454, 'OE8': 3701.8619343725095, 'OE9': 2930.2108221028375}"
1251,0.9921789519180493,0.0015627865024989813,136528273058.97948,3116.41347819628,"{'OE1': 39247.4561623075, 'OE2': 39247.4561623075, 'OE3': 24828.844149906035, 'OE4': 22026.27600793222, 'OE5': 22026.27600793222, 'OE6': 17894.63370811542, 'OE7': 4827.983460659795, 'OE8': 3931.96798567041, 'OE9': 3116.41347819628}"
1301,1.0588550407999264,0.0016386339447336936,124475039020.25108,3052.3239102304005,"{'OE1': 39294.247469119604, 'OE2': 39294.247469119604, 'OE3': 24875.982692358655, 'OE4': 21690.34313118, 'OE5': 21690.34313118, 'OE6': 17656.22880303567, 'OE7': 4719.463862449471, 'OE8': 3849.0642479195176, 'OE9': 3052.3239102304005}"
1351,1.1768600033283292,0.0017301623498567078,111907478353.23172,2910.9188180240653,"{'OE1': 39276.89919442601, 'OE2': 39276.89919442601, 'OE3': 24875.69006919899, 'OE4': 21350.05234825827, 'OE5': 21350.05234825827, 'OE6': 17388.861253641404, 'OE7': 4490.479937031252, 'OE8': 3664.977602741519, 'OE9': 2910.9188180240653}"
1401,1.22917378937359,0.0015582828113620988,99288938473.42323,3203.703173025133,"{'OE1': 39284.37222556161, 'OE2': 39284.37222556161, 'OE3': 24884.015736506008, 'OE4': 21014.950085518252, 'OE5': 21014.950085518252, 'OE6': 17129.944793053295, 'OE7': 4936.273582038635, 'OE8': 4030.8499001777213, 'OE9': 3203.703173025133}"
1451,1.2964778329910587,0.0017368549356339485,87341252975.62636,2858.0822116653317,"{'OE1': 39308.44198360864, 'OE2': 39308.44198360864, 'OE3': 24895.514582687436, 'OE4': 20745.42954616391, 'OE5': 20745.42954616391, 'OE6': 16915.73086492051, 'OE7': 4405.098845061426, 'OE8': 3598.717951917083, 'OE9': 2858.0822116653317}"
