"cff = 1.4, order = 3, 2024-03-07 15:50:03.861864"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict
101,0,0.0,0.0,0,"{'OE1': 48987.84312244332, 'OE2': 0.0, 'OE3': 0.0, 'OE4': 0.0, 'OE5': 0.0, 'OE6': 0.0, 'OE7': 0.0, 'OE8': 0.0, 'OE9': 0.0}"
151,0,0.0,0.0,0,"{'OE1': 48180.830278798276, 'OE2': 0.0, 'OE3': 0.0, 'OE4': 0.0, 'OE5': 0.0, 'OE6': 0.0, 'OE7': 0.0, 'OE8': 0.0, 'OE9': 0.0}"
201,0,0.0,0.0,0,"{'OE1': 47170.98394183422, 'OE2': 0.0, 'OE3': 0.0, 'OE4': 0.0, 'OE5': 0.0, 'OE6': 0.0, 'OE7': 0.0, 'OE8': 0.0, 'OE9': 0.0}"
251,0.07446456352636233,0.0006844096958108578,43636180.07229258,132.48486668676492,"{'OE1': 45850.255739103646, 'OE2': 5943.699924922829, 'OE3': 1029.3833849354226, 'OE4': 1029.3833849354226, 'OE5': 1029.3833849354226, 'OE6': 960.7703670253046, 'OE7': 152.59682162273788, 'OE8': 142.9182521234689, 'OE9': 132.48486668676492}"
301,0.06894747373462451,0.00047631387681265375,111914243.45977734,421.1721776244161,"{'OE1': 41138.68330670894, 'OE2': 13697.266754598977, 'OE3': 2804.4974893500053, 'OE4': 2804.4974893500053, 'OE5': 2804.4974893500053, 'OE6': 2376.2688972387314, 'OE7': 596.7617000511881, 'OE8': 506.74212628680857, 'OE9': 421.1721776244161}"
351,0.09885778880686757,0.0005055520755503392,58587940.77129015,191.19297079533732,"{'OE1': 28891.47851968352, 'OE2': 13999.353469453608, 'OE3': 3375.5138038911773, 'OE4': 3375.5138038911773, 'OE5': 3375.5138038911773, 'OE6': 2070.943661063096, 'OE7': 529.5559189747433, 'OE8': 327.46966986312265, 'OE9': 191.19297079533732}"
401,0.10785032135891015,0.0005676774463998009,167289829.4330902,463.33084526935994,"{'OE1': 34056.387337803186, 'OE2': 20571.83931163713, 'OE3': 5431.127326274199, 'OE4': 5431.127326274199, 'OE5': 5431.127326274199, 'OE6': 3874.5500454039675, 'OE7': 939.7146208274407, 'OE8': 673.9682972608265, 'OE9': 463.33084526935994}"
451,0.125055769070741,0.0005563333394572657,289392113.263606,793.3498653209007,"{'OE1': 36220.670955355556, 'OE2': 25664.069221942176, 'OE3': 7223.566111826904, 'OE4': 7223.566111826904, 'OE5': 7223.566111826904, 'OE6': 5447.267553161813, 'OE7': 1431.6245533546303, 'OE8': 1084.686987257453, 'OE9': 793.3498653209007}"
501,0.14974165911735327,0.0005907509745452308,362665470.2033146,908.693946479978,"{'OE1': 36288.689375623166, 'OE2': 28940.39350549375, 'OE3': 8240.487657795236, 'OE4': 8240.487657795238, 'OE5': 8240.487657795238, 'OE6': 6229.118294364427, 'OE7': 1634.55074506713, 'OE8': 1240.4083175859978, 'OE9': 908.693946479978}"
551,0.1838230848306921,0.0006957555119755417,514794405.6599311,1039.9936033160463,"{'OE1': 37491.84862969537, 'OE2': 32936.416230314506, 'OE3': 9626.726144437707, 'OE4': 9626.726144437707, 'OE5': 9626.726144437707, 'OE6': 7493.687806950158, 'OE7': 1757.03840278801, 'OE8': 1373.0817123505653, 'OE9': 1039.9936033160463}"
601,0.20038817507781914,0.000659487218772241,663136744.6253685,1301.5572261553689,"{'OE1': 38047.225365832506, 'OE2': 36196.52695854875, 'OE3': 10635.552282992703, 'OE4': 10635.552282992703, 'OE5': 10635.552282992703, 'OE6': 8389.037369121517, 'OE7': 2140.787953003376, 'OE8': 1694.5091638279403, 'OE9': 1301.5572261553689}"
651,0.23833368191048976,0.0006928547227216181,865582729.1785098,1449.0484766194147,"{'OE1': 38380.960813925456, 'OE2': 38380.960813925456, 'OE3': 11467.03365207278, 'OE4': 11467.03365207278, 'OE5': 11467.03365207278, 'OE6': 9122.154788055988, 'OE7': 2340.763501794305, 'OE8': 1867.8352261505786, 'OE9': 1449.0484766194147}"
701,0.2493459274116958,0.0007683766434959641,1058716120.3187104,1397.9508884868571,"{'OE1': 38876.967313863, 'OE2': 38876.967313863, 'OE3': 11664.91168236067, 'OE4': 11664.91168236067, 'OE5': 11664.91168236067, 'OE6': 9377.789919774734, 'OE7': 2210.484271009272, 'OE8': 1782.4256048742664, 'OE9': 1397.9508884868571}"
751,0.3069555294641759,0.000775668267602637,1254545636.0253935,1457.296023340384,"{'OE1': 39194.722020634355, 'OE2': 39194.722020634355, 'OE3': 11436.500130955601, 'OE4': 11436.500130955601, 'OE5': 11436.500130955601, 'OE6': 9269.471780672995, 'OE7': 2264.442329944627, 'OE8': 1840.7171405651497, 'OE9': 1457.296023340384}"
801,0.329184713604036,0.0008038900989674645,1503915386.7796843,1506.492573539178,"{'OE1': 39433.45524924208, 'OE2': 39433.45524924208, 'OE3': 11566.57534154864, 'OE4': 11566.57534154864, 'OE5': 11566.57534154864, 'OE6': 9437.554956965178, 'OE7': 2309.239231568934, 'OE8': 1889.0773839448912, 'OE9': 1506.492573539178}"
851,0.34888559356886617,0.0008335109798637226,1700136104.2103307,1475.6523900983855,"{'OE1': 39670.67724534751, 'OE2': 39670.67724534751, 'OE3': 11385.623619004089, 'OE4': 11385.623619004089, 'OE5': 11385.623619004089, 'OE6': 9330.063572223022, 'OE7': 2240.5724093341887, 'OE8': 1840.6770084807376, 'OE9': 1475.6523900983855}"
901,0.3517952322047222,0.0007925396083062618,1919671342.59983,1581.261991476411,"{'OE1': 39840.17017672515, 'OE2': 39840.17017672515, 'OE3': 11072.29582797873, 'OE4': 11072.29582797873, 'OE5': 11072.29582797873, 'OE6': 9112.368329492103, 'OE7': 2380.6638544497737, 'OE8': 1963.7385749466453, 'OE9': 1581.261991476411}"
951,0.42870470146772277,0.0008706406318272999,1895779239.5948818,1302.9771258970184,"{'OE1': 39309.14487589833, 'OE2': 39309.14487589834, 'OE3': 10180.00586370052, 'OE4': 10180.00586370052, 'OE5': 10180.00586370052, 'OE6': 8278.704999137875, 'OE7': 2010.9471081012564, 'OE8': 1639.523965382757, 'OE9': 1302.9771258970184}"
1001,0.4365500583088533,0.000889870196878129,1888812751.4574912,1178.9062262635175,"{'OE1': 38825.09681327642, 'OE2': 38825.09681327641, 'OE3': 9349.41787262228, 'OE4': 9349.41787262228, 'OE5': 9349.41787262228, 'OE6': 7519.565116094169, 'OE7': 1865.935368552232, 'OE8': 1504.1387615197818, 'OE9': 1178.9062262635175}"
1051,0.4727780771086145,0.0009240095880473187,1947775473.7481124,1096.5943969961559,"{'OE1': 38934.06291194566, 'OE2': 38934.06291194566, 'OE3': 8801.074050339632, 'OE4': 8801.074050339632, 'OE5': 8801.074050339632, 'OE6': 7093.71112877458, 'OE7': 1725.9598275596204, 'OE8': 1394.7358832352188, 'OE9': 1096.5943969961559}"
1101,0.5040312634343991,0.0009338872935931019,1972966665.4062884,1045.2081623265033,"{'OE1': 39029.86922347521, 'OE2': 39029.86922347521, 'OE3': 8222.470669270118, 'OE4': 8222.470669270118, 'OE5': 8222.470669270118, 'OE6': 6646.717184629249, 'OE7': 1635.2813300951402, 'OE8': 1324.9144638184239, 'OE9': 1045.2081623265033}"
1151,0.5446616501085373,0.0009551452432391541,1916925601.3032057,973.758620219583,"{'OE1': 39126.554672842874, 'OE2': 39126.554672842874, 'OE3': 7628.604821163662, 'OE4': 7628.604821163662, 'OE5': 7628.604821163662, 'OE6': 6182.502394002918, 'OE7': 1517.7228043730947, 'OE8': 1232.5154806747476, 'OE9': 973.758620219583}"
1201,0.5488183197348917,0.0009260180146833936,1771398412.982103,938.2400464433147,"{'OE1': 39174.24687259787, 'OE2': 39174.24687259787, 'OE3': 7026.993810660251, 'OE4': 7026.993810660251, 'OE5': 7026.993810660251, 'OE6': 5702.4234511371615, 'OE7': 1458.026294481716, 'OE8': 1185.710797650739, 'OE9': 938.2400464433147}"
1251,0.6475457122849093,0.0010313890073729512,1581465735.6564484,788.4593601698052,"{'OE1': 39247.45695049944, 'OE2': 39247.45695049944, 'OE3': 6354.451172810017, 'OE4': 6354.451172810017, 'OE5': 6354.451172810017, 'OE6': 5162.377626394861, 'OE7': 1220.8386459384487, 'OE8': 994.2414920329327, 'OE9': 788.4593601698052}"
