"cff = 2, order = 1, 2024-03-08 15:38:16.326898"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
101,0.017429026343251053,0.00037161399127837896,33158685114.022846,8788.868606970731,"{'OE1': 48986.85798522438, 'OE2': 35971.69828350968, 'OE3': 34260.05034773127, 'OE4': 34260.05034773127, 'OE5': 34260.05034773127, 'OE6': 33943.17997853875, 'OE7': 8947.918506193346, 'OE8': 8892.819571699307, 'OE9': 8788.868606970731}","{'OE1': 9.466382312457418, 'OE2': 4.720523150720165, 'OE3': 4.720526362755827, 'OE4': 9.438110130161633, 'OE5': 9.438110130161633, 'OE6': 0.20922894915941112, 'OE7': 6.193927079683785, 'OE8': 2.4623429811066413, 'OE9': 0.05264133301657159}","{'OE1': 49368, 'OE2': 36252, 'OE3': 36252, 'OE4': 36252, 'OE5': 36252, 'OE6': 36171, 'OE7': 9535, 'OE8': 9535, 'OE9': 9497}"
151,0.03386700410283083,0.0004855543739475685,81345767713.0479,8936.322427538646,"{'OE1': 48181.80869396908, 'OE2': 48181.80869396908, 'OE3': 39158.106700635006, 'OE4': 39158.10670063501, 'OE5': 39158.10670063501, 'OE6': 38251.877250955076, 'OE7': 9355.519893970206, 'OE8': 9165.890241512512, 'OE9': 8936.322427538646}","{'OE1': 9.424127263873041, 'OE2': 6.542730014417488, 'OE3': 6.542689351207645, 'OE4': 13.078867619297956, 'OE5': 13.078867619297956, 'OE6': 0.22375680243002882, 'OE7': 6.083742259961877, 'OE8': 3.1693144106986537, 'OE9': 0.05065300614392046}","{'OE1': 49337, 'OE2': 49337, 'OE3': 49337, 'OE4': 49337, 'OE5': 49337, 'OE6': 49244, 'OE7': 12044, 'OE8': 12044, 'OE9': 12024}"
201,0.04976409153087502,0.0005396318467239611,63493762309.94255,5954.151559631453,"{'OE1': 47170.03441096427, 'OE2': 47170.03441096427, 'OE3': 26627.075735752907, 'OE4': 26627.075735752907, 'OE5': 26627.075735752907, 'OE6': 25500.234727420106, 'OE7': 6499.252598130764, 'OE8': 6244.365217732992, 'OE9': 5954.151559631453}","{'OE1': 9.438720619393406, 'OE2': 6.551682418470507, 'OE3': 6.5516714317186695, 'OE4': 13.096541458264053, 'OE5': 13.096541458264053, 'OE6': 0.21134262931902814, 'OE7': 5.99883042036582, 'OE8': 3.165683045811103, 'OE9': 0.048329445289744366}","{'OE1': 49351, 'OE2': 49351, 'OE3': 49351, 'OE4': 49351, 'OE5': 49351, 'OE6': 49243, 'OE7': 12551, 'OE8': 12551, 'OE9': 12521}"
251,0.0699588806844531,0.0006032442666235808,76765199648.24106,5322.9606462992415,"{'OE1': 45850.25648799908, 'OE2': 45850.25648799908, 'OE3': 25811.582714627082, 'OE4': 25811.582714627082, 'OE5': 25811.582714627082, 'OE6': 24096.56022794029, 'OE7': 6129.421886799502, 'OE8': 5741.212800656131, 'OE9': 5322.9606462992415}","{'OE1': 9.414416390956742, 'OE2': 6.413562846536038, 'OE3': 6.413541919523681, 'OE4': 12.818336916594035, 'OE5': 12.818336916594035, 'OE6': 0.21099926732938912, 'OE7': 6.082991373081262, 'OE8': 3.237832391843653, 'OE9': 0.05569966195420317}","{'OE1': 49329, 'OE2': 49329, 'OE3': 49329, 'OE4': 49329, 'OE5': 49329, 'OE6': 49211, 'OE7': 12518, 'OE8': 12518, 'OE9': 12487}"
301,0.08950734717160458,0.0005836794341999045,73994609238.10696,4102.3378040121315,"{'OE1': 41142.8173368867, 'OE2': 41142.8173368867, 'OE3': 24256.78080782256, 'OE4': 24238.11503881263, 'OE5': 24238.11503881263, 'OE6': 20518.599100130286, 'OE7': 5803.004264751449, 'OE8': 4927.939755056342, 'OE9': 4102.3378040121315}","{'OE1': 9.434424723709155, 'OE2': 6.539145121245264, 'OE3': 6.539174695018035, 'OE4': 12.981667609133767, 'OE5': 12.981667609133767, 'OE6': 0.21458278994272273, 'OE7': 6.158797362711292, 'OE8': 3.2147286614478072, 'OE9': 0.05080509862981178}","{'OE1': 49339, 'OE2': 49339, 'OE3': 49339, 'OE4': 49301, 'OE5': 49301, 'OE6': 49197, 'OE7': 13915, 'OE8': 13915, 'OE9': 13892}"
351,0.12035194978295749,0.0006988584308396575,25739867879.86205,961.5337361867126,"{'OE1': 28891.47737797189, 'OE2': 28891.47737797189, 'OE3': 18062.30903255128, 'OE4': 16798.701965797187, 'OE5': 16798.701965797187, 'OE6': 10305.76007143536, 'OE7': 2661.2832225748903, 'OE8': 1645.600671724229, 'OE9': 961.5337361867126}","{'OE1': 9.447248686667415, 'OE2': 6.54922311564294, 'OE3': 6.5492427690449695, 'OE4': 12.023802901317417, 'OE5': 12.023802901317417, 'OE6': 0.2182194582508037, 'OE7': 6.083882540497873, 'OE8': 2.9700090738246043, 'OE9': 0.05278816571802339}","{'OE1': 49333, 'OE2': 49333, 'OE3': 49333, 'OE4': 45881, 'OE5': 45881, 'OE6': 45770, 'OE7': 11824, 'OE8': 11824, 'OE9': 11798}"
401,0.14637508171279023,0.0007315269370974534,60437049920.05871,1803.3645613486508,"{'OE1': 34056.38205620327, 'OE2': 34056.38205620327, 'OE3': 22117.718687624398, 'OE4': 19187.706437653822, 'OE5': 19187.706437653822, 'OE6': 13680.688132593146, 'OE7': 3651.7900300366546, 'OE8': 2618.8248189207843, 'OE9': 1803.3645613486508}","{'OE1': 9.43940417895687, 'OE2': 6.410270566418902, 'OE3': 6.4102639823372485, 'OE4': 11.251560065667457, 'OE5': 11.251560065667457, 'OE6': 0.21759153146187504, 'OE7': 6.126346881878183, 'OE8': 2.7864055536657415, 'OE9': 0.05480319634724909}","{'OE1': 49329, 'OE2': 49329, 'OE3': 49329, 'OE4': 42792, 'OE5': 42792, 'OE6': 42710, 'OE7': 11403, 'OE8': 11403, 'OE9': 11376}"
451,0.17404263572984746,0.0007614521136747902,90279967646.31808,2240.4891587790335,"{'OE1': 36220.66325005543, 'OE2': 36220.66325005543, 'OE3': 24274.295788171647, 'OE4': 19840.427785686457, 'OE5': 19840.427785686457, 'OE6': 14961.126765705128, 'OE7': 4040.0828635388616, 'OE8': 3060.8520419421156, 'OE9': 2240.4891587790335}","{'OE1': 9.470510567282254, 'OE2': 6.54202746367969, 'OE3': 6.5420225892170825, 'OE4': 10.608233879564988, 'OE5': 10.608233879564988, 'OE6': 0.2281222798438154, 'OE7': 6.09905029452735, 'OE8': 2.66093049605494, 'OE9': 0.0480208896907426}","{'OE1': 49339, 'OE2': 49339, 'OE3': 49339, 'OE4': 40324, 'OE5': 40324, 'OE6': 40252, 'OE7': 10872, 'OE8': 10872, 'OE9': 10841}"
501,0.20440820190202658,0.0008002339547255598,102718084745.39252,2166.384179114086,"{'OE1': 36289.39087891249, 'OE2': 36289.3908789125, 'OE3': 24667.067055740896, 'OE4': 19058.462537096475, 'OE5': 19058.462537096475, 'OE6': 14403.775918197467, 'OE7': 3895.8831282794517, 'OE8': 2956.406190708266, 'OE9': 2166.384179114086}","{'OE1': 9.40478337952529, 'OE2': 6.5484415770008155, 'OE3': 6.548473491677102, 'OE4': 10.06747748244732, 'OE5': 10.06747748244732, 'OE6': 0.207634527912414, 'OE7': 6.159320337653824, 'OE8': 2.5214963842689464, 'OE9': 0.05262763056089456}","{'OE1': 49330, 'OE2': 49330, 'OE3': 49330, 'OE4': 38111, 'OE5': 38111, 'OE6': 38053, 'OE7': 10295, 'OE8': 10295, 'OE9': 10255}"
551,0.23440657612195537,0.0007906283666284542,128360242496.24586,2504.744805126429,"{'OE1': 37491.844769725874, 'OE2': 37491.844769725874, 'OE3': 25807.585022614865, 'OE4': 18977.610657834863, 'OE5': 18977.610657834863, 'OE6': 14775.182288758837, 'OE7': 4232.242136692928, 'OE8': 3307.493574382409, 'OE9': 2504.744805126429}","{'OE1': 9.4039688907135, 'OE2': 6.541026707725142, 'OE3': 6.541044700663982, 'OE4': 9.598891906272282, 'OE5': 9.598891906272282, 'OE6': 0.22983050363569735, 'OE7': 6.088532214586287, 'OE8': 2.406454499435994, 'OE9': 0.05554726924261022}","{'OE1': 49323, 'OE2': 49323, 'OE3': 49323, 'OE4': 36267, 'OE5': 36267, 'OE6': 36209, 'OE7': 10373, 'OE8': 10373, 'OE9': 10337}"
