"cff = 2, order = 2, 2024-03-08 15:01:25.830034"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict
101,0.019157703405142,0.00027468173538078316,103735397.54569152,334.7894747880391,"{'OE1': 48986.8560019613, 'OE2': 1334.7242740470952, 'OE3': 1242.714167069241, 'OE4': 1242.7141670692413, 'OE5': 1242.7141670692413, 'OE6': 1229.444235273049, 'OE7': 339.4737703175409, 'OE8': 337.3528805772945, 'OE9': 334.7894747880391}","{'OE1': 9.466381361437797, 'OE2': 0.15585712406685026, 'OE3': 0.14285524639863612, 'OE4': 0.30317218471992646, 'OE5': 0.30317218471992646, 'OE6': 0.21729638662598982, 'OE7': 5.708358133534491, 'OE8': 0.15512182018197618, 'OE9': 0.038948726063660066}"
151,0.0243136892474638,0.00032150573919343577,2237443670.847049,4036.250433094362,"{'OE1': 48181.8080278166, 'OE2': 22660.799307571986, 'OE3': 16647.92318528037, 'OE4': 16647.92318528037, 'OE5': 16647.92318528037, 'OE6': 16256.217224928125, 'OE7': 4226.992571511499, 'OE8': 4141.291707992775, 'OE9': 4036.250433094362}","{'OE1': 9.42412671149622, 'OE2': 3.0083089719622222, 'OE3': 3.0083272634088942, 'OE4': 6.0136267323137105, 'OE5': 6.0136267323137105, 'OE6': 0.24099661335376155, 'OE7': 6.086621595157357, 'OE8': 1.573842009556702, 'OE9': 0.05003195174786909}"
201,0.03462198966050778,0.0003636600910933104,2041633541.4498925,3442.4010572190946,"{'OE1': 47170.03234380987, 'OE2': 34297.45576692675, 'OE3': 14677.869153985157, 'OE4': 14677.869153985157, 'OE5': 14677.869153985157, 'OE6': 14062.920863071684, 'OE7': 3760.683616890261, 'OE8': 3613.288634617024, 'OE9': 3442.4010572190946}","{'OE1': 9.438720550353034, 'OE2': 4.698651424667624, 'OE3': 4.698655202596228, 'OE4': 9.394341357299155, 'OE5': 9.394341357299155, 'OE6': 0.22144477896517162, 'OE7': 6.0848076467218135, 'OE8': 2.4407261026332865, 'OE9': 0.05070750068911514}"
251,0.05049800522741066,0.00039583003994727705,2754722981.9812574,3983.005051478136,"{'OE1': 45851.1883441481, 'OE2': 41822.3232696534, 'OE3': 17902.845302814003, 'OE4': 17902.845302814007, 'OE5': 17902.845302814007, 'OE6': 16714.30706605097, 'OE7': 4587.386719941909, 'OE8': 4296.91072968234, 'OE9': 3983.005051478136}","{'OE1': 9.41441592075262, 'OE2': 5.968594009178369, 'OE3': 5.968615539460991, 'OE4': 11.932257249641411, 'OE5': 11.932257249641411, 'OE6': 0.2119673411945588, 'OE7': 6.076376047789617, 'OE8': 2.9271984602998344, 'OE9': 0.05210932932269763}"
301,0.06695617429585354,0.0004462010018494802,2886160018.989908,2972.2972816959345,"{'OE1': 41138.6974608799, 'OE2': 41138.6974608799, 'OE3': 18906.948541132944, 'OE4': 18906.948541132944, 'OE5': 18906.948541132944, 'OE6': 16005.79456902097, 'OE7': 4204.672903128529, 'OE8': 3570.624241496264, 'OE9': 2972.2972816959345}","{'OE1': 9.4344254552364, 'OE2': 6.526492968986862, 'OE3': 6.526451621273379, 'OE4': 13.04893103079744, 'OE5': 13.04893103079744, 'OE6': 0.21606578714025937, 'OE7': 6.169602304262892, 'OE8': 3.166293839373271, 'OE9': 0.05090816634804096}"
351,0.08479520544113939,0.0004774404965878097,1124532247.8559687,859.1317724214662,"{'OE1': 28891.478553279634, 'OE2': 28891.478553279634, 'OE3': 14469.984586596549, 'OE4': 14469.984586596549, 'OE5': 14469.984586596549, 'OE6': 8875.652746475818, 'OE7': 2377.595664495142, 'OE8': 1470.0441677602685, 'OE9': 859.1317724214662}","{'OE1': 9.447248323884763, 'OE2': 6.548075312874284, 'OE3': 6.54809935619995, 'OE4': 13.090983122101775, 'OE5': 13.090983122101775, 'OE6': 0.22589954265198753, 'OE7': 6.080611855490712, 'OE8': 3.166920591376617, 'OE9': 0.05249455877150386}"
401,0.10259395745407573,0.0005086951052077355,3043648384.417921,1711.2054527639516,"{'OE1': 34056.38969981886, 'OE2': 34056.38969981886, 'OE3': 18012.853564363482, 'OE4': 18012.853564363482, 'OE5': 18012.853564363482, 'OE6': 12841.737449202406, 'OE7': 3464.5822028591665, 'OE8': 2484.2572917566113, 'OE9': 1711.2054527639516}","{'OE1': 9.439403899207964, 'OE2': 6.5425481649357256, 'OE3': 6.542534790775457, 'OE4': 13.081147552465334, 'OE5': 13.081147552465334, 'OE6': 0.21600909741618235, 'OE7': 6.129237604879796, 'OE8': 3.1699522409334624, 'OE9': 0.05434040845604965}"
451,0.12312295057029132,0.0005113075828999807,5406147871.266923,2377.1556571654464,"{'OE1': 36220.67237529232, 'OE2': 36220.67237529232, 'OE3': 20025.329294719868, 'OE4': 20025.329294719868, 'OE5': 20025.329294719868, 'OE6': 15092.688384928879, 'OE7': 4285.347864037183, 'OE8': 3246.1967028006047, 'OE9': 2377.1556571654464}","{'OE1': 9.470510036225999, 'OE2': 6.540472999774003, 'OE3': 6.54048062226242, 'OE4': 13.077280351193044, 'OE5': 13.077280351193044, 'OE6': 0.2196386170641561, 'OE7': 6.103758192127369, 'OE8': 3.2343967026902583, 'OE9': 0.04812454913599522}"
501,0.13932172438700263,0.0005648939028918642,7388964607.0533285,2345.5013035769234,"{'OE1': 36288.69348245612, 'OE2': 36288.69348245612, 'OE3': 20444.38568932706, 'OE4': 20444.38568932706, 'OE5': 20444.38568932706, 'OE6': 15445.699074482465, 'OE7': 4216.982543462898, 'OE8': 3199.527935453037, 'OE9': 2345.5013035769234}","{'OE1': 9.40478350446541, 'OE2': 6.5476604468343265, 'OE3': 6.5476910713939285, 'OE4': 13.08773929472862, 'OE5': 13.08773929472862, 'OE6': 0.20908404163281946, 'OE7': 6.068548983206169, 'OE8': 3.1717966414165244, 'OE9': 0.05505305173497503}"
551,0.17270952347246293,0.0006328137367550738,10953190484.870092,2517.5660408848034,"{'OE1': 37491.85124497745, 'OE2': 37491.85124497745, 'OE3': 21504.213031351417, 'OE4': 21504.213031351417, 'OE5': 21504.213031351417, 'OE6': 16733.37514231146, 'OE7': 4252.180731184623, 'OE8': 3322.4902613852905, 'OE9': 2517.5660408848034}","{'OE1': 9.40396866172316, 'OE2': 6.5398779429167835, 'OE3': 6.539829278251236, 'OE4': 13.07235624236543, 'OE5': 13.07235624236543, 'OE6': 0.21539186275399835, 'OE7': 5.930351986676211, 'OE8': 3.227215222120932, 'OE9': 0.052088381150949964}"
