"cff = 2.0, order = 3, 2024-03-11 12:11:40.767082"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
101.0,0,0.0,0.0,0,"{'OE1': 48987.84312244332, 'OE2': 0.0, 'OE3': 0.0, 'OE4': 0.0, 'OE5': 0.0, 'OE6': 0.0, 'OE7': 0.0, 'OE8': 0.0, 'OE9': 0.0}","{'OE1': 9.466378394406991, 'OE2': 0, 'OE3': 0, 'OE4': 0, 'OE5': 0, 'OE6': 0, 'OE7': 0, 'OE8': 0, 'OE9': 0}",0
151.0,0.02582818630685324,0.00027684089645197747,99261822.34166612,170.91028826172084,"{'OE1': 48181.80768217032, 'OE2': 1099.7735104574467, 'OE3': 736.6092347735906, 'OE4': 736.6092347735907, 'OE5': 736.6092347735907, 'OE6': 719.6556857701887, 'OE7': 178.61513926844316, 'OE8': 174.97170101206459, 'OE9': 170.91028826172084}","{'OE1': 9.424126491945707, 'OE2': 0.1136754152576902, 'OE3': 0.11366761964819894, 'OE4': 0.22727864940138787, 'OE5': 0.22727864940138787, 'OE6': 0.17982565020971758, 'OE7': 5.738278422094206, 'OE8': 0.1137448739844078, 'OE9': 0.03650836893527509}","{'OE1': 49337, 'OE2': 1126, 'OE3': 1126, 'OE4': 1126, 'OE5': 1126, 'OE6': 1124, 'OE7': 279, 'OE8': 279, 'OE9': 279}"
201.0,0.03138644628162979,0.00028464509795643364,544850082.66155,1375.9012115422775,"{'OE1': 47170.03162453811, 'OE2': 16765.429856438437, 'OE3': 5611.264700852926, 'OE4': 5611.264700852926, 'OE5': 5611.264700852926, 'OE6': 5374.6530497389895, 'OE7': 1503.5369724471598, 'OE8': 1444.512590341974, 'OE9': 1375.9012115422775}","{'OE1': 9.438720533287274, 'OE2': 2.242600793285362, 'OE3': 2.24259206163412, 'OE4': 4.4833340516079545, 'OE5': 4.4833340516079545, 'OE6': 0.22685020663067368, 'OE7': 6.086529197983451, 'OE8': 1.1538078989985494, 'OE9': 0.05086832442491876}","{'OE1': 49351, 'OE2': 17540, 'OE3': 17540, 'OE4': 17540, 'OE5': 17540, 'OE6': 17504, 'OE7': 4897, 'OE8': 4897, 'OE9': 4880}"
251.0,0.03981436106448655,0.0003197250990015834,970803549.5703844,1975.1383624957757,"{'OE1': 45851.18863756109, 'OE2': 26027.8988296839, 'OE3': 8782.995143327922, 'OE4': 8782.995143327924, 'OE5': 8782.995143327924, 'OE6': 8196.132646416525, 'OE7': 2276.1165037230667, 'OE8': 2131.9871410296446, 'OE9': 1975.1383624957757}","{'OE1': 9.414415613343898, 'OE2': 3.645433780009416, 'OE3': 3.6454527945170696, 'OE4': 7.287240855704368, 'OE5': 7.287240855704368, 'OE6': 0.22099446343719664, 'OE7': 6.224225505519305, 'OE8': 1.9044325278935847, 'OE9': 0.05000766826605288}","{'OE1': 49330, 'OE2': 28003, 'OE3': 28003, 'OE4': 28003, 'OE5': 28003, 'OE6': 27925, 'OE7': 7755, 'OE8': 7755, 'OE9': 7730}"
301.0,0.05086095256973522,0.0003556039104163411,1322278042.024244,1784.0200043180073,"{'OE1': 41138.74078593343, 'OE2': 29816.270575888804, 'OE3': 11066.0428722515, 'OE4': 11066.0428722515, 'OE5': 11066.0428722515, 'OE6': 9371.00288638285, 'OE7': 2524.3620551489907, 'OE8': 2143.754698868237, 'OE9': 1784.0200043180073}","{'OE1': 9.434426037584233, 'OE2': 4.684930516991525, 'OE3': 4.684922946052566, 'OE4': 9.3685548222482, 'OE5': 9.3685548222482, 'OE6': 0.21511966397621807, 'OE7': 6.134594396057231, 'OE8': 2.379388975557082, 'OE9': 0.05421892544915714}","{'OE1': 49334, 'OE2': 35757, 'OE3': 35757, 'OE4': 35757, 'OE5': 35757, 'OE6': 35694, 'OE7': 9617, 'OE8': 9617, 'OE9': 9598}"
351.0,0.06632263621708034,0.0003660773079079789,638318932.4061651,644.4670046461861,"{'OE1': 28892.064543753615, 'OE2': 24700.596087324637, 'OE3': 10218.49776324615, 'OE4': 10218.49776324615, 'OE5': 10218.49776324615, 'OE6': 6268.063461297803, 'OE7': 1784.462556486559, 'OE8': 1103.4997144269596, 'OE9': 644.4670046461861}","{'OE1': 9.447248252679707, 'OE2': 5.611696596363231, 'OE3': 5.611696090356545, 'OE4': 11.220922316312475, 'OE5': 11.220922316312475, 'OE6': 0.22042559038436949, 'OE7': 6.165837360564468, 'OE8': 2.759620899165971, 'OE9': 0.052042574046453044}","{'OE1': 49334, 'OE2': 42182, 'OE3': 42182, 'OE4': 42182, 'OE5': 42182, 'OE6': 42078, 'OE7': 11983, 'OE8': 11983, 'OE9': 11952}"
401.0,0.08282235101688684,0.000439525071894316,1943452102.989068,1307.987905015354,"{'OE1': 34056.39278054726, 'OE2': 32884.5478243336, 'OE3': 14546.270653451924, 'OE4': 14546.270653451924, 'OE5': 14546.270653451924, 'OE6': 10370.982268685322, 'OE7': 2648.6356461076975, 'OE8': 1899.2575489174892, 'OE9': 1307.987905015354}","{'OE1': 9.439403578384269, 'OE2': 6.273425210170771, 'OE3': 6.273410820517798, 'OE4': 12.544426560643235, 'OE5': 12.544426560643235, 'OE6': 0.21963008299690512, 'OE7': 5.9932754079613675, 'OE8': 3.0612868549565677, 'OE9': 0.05491117646210408}","{'OE1': 49329, 'OE2': 47633, 'OE3': 47633, 'OE4': 47633, 'OE5': 47633, 'OE6': 47538, 'OE7': 12143, 'OE8': 12143, 'OE9': 12115}"
451.0,0.10127828946053796,0.0004154373583651048,3386123861.7465763,2015.2026571775914,"{'OE1': 36220.67552536168, 'OE2': 36220.67552536168, 'OE3': 16901.039273803093, 'OE4': 16901.039273803093, 'OE5': 16901.039273803093, 'OE6': 12737.966438687079, 'OE7': 3632.2805091824816, 'OE8': 2751.4938286702277, 'OE9': 2015.2026571775914}","{'OE1': 9.470509961561444, 'OE2': 6.539811806663452, 'OE3': 6.539776264306813, 'OE4': 13.076605297056178, 'OE5': 13.076605297056222, 'OE6': 0.22059667673208594, 'OE7': 6.095689923034115, 'OE8': 3.233990952335755, 'OE9': 0.048256260409798676}","{'OE1': 49339, 'OE2': 49339, 'OE3': 49339, 'OE4': 49339, 'OE5': 49339, 'OE6': 49223, 'OE7': 14039, 'OE8': 14039, 'OE9': 14006}"
501.0,0.11200331907400596,0.0004717437832368887,4234520253.902708,1934.3977741782824,"{'OE1': 36288.708354382376, 'OE2': 36288.708354382376, 'OE3': 17290.916376520097, 'OE4': 17290.916376520097, 'OE5': 17290.916376520097, 'OE6': 13063.25565277725, 'OE7': 3476.36726474062, 'OE8': 2637.6086597111275, 'OE9': 1934.3977741782824}","{'OE1': 9.404783535822876, 'OE2': 6.547296042194974, 'OE3': 6.547299856063244, 'OE4': 13.088288998226997, 'OE5': 13.088288998226997, 'OE6': 0.2239547684914442, 'OE7': 6.076618494200053, 'OE8': 3.242651574820926, 'OE9': 0.05165490772501277}","{'OE1': 49329, 'OE2': 49329, 'OE3': 49329, 'OE4': 49329, 'OE5': 49329, 'OE6': 49233, 'OE7': 13105, 'OE8': 13105, 'OE9': 13064}"
551.0,0.13894280758506738,0.0005062248699116898,5692619162.928452,2175.785186549969,"{'OE1': 37491.85666777191, 'OE2': 37491.85666777191, 'OE3': 18258.612673359992, 'OE4': 18258.612673359992, 'OE5': 18258.612673359992, 'OE6': 14207.828487587554, 'OE7': 3673.663096396244, 'OE8': 2870.458290641074, 'OE9': 2175.785186549969}","{'OE1': 9.40396853755224, 'OE2': 6.539423371391235, 'OE3': 6.539475162716121, 'OE4': 13.072681175769347, 'OE5': 13.072681175769347, 'OE6': 0.23218762832084378, 'OE7': 5.926734690632094, 'OE8': 3.2279406547318477, 'OE9': 0.05219357218852062}","{'OE1': 49323, 'OE2': 49323, 'OE3': 49323, 'OE4': 49323, 'OE5': 49323, 'OE6': 49216, 'OE7': 12727, 'OE8': 12727, 'OE9': 12693}"
601.0,0.1480918655786354,0.0005219683652067397,6958903102.60992,2357.352453151213,"{'OE1': 38047.99720360148, 'OE2': 38047.99720360148, 'OE3': 18809.463031117066, 'OE4': 18809.46303111707, 'OE5': 18809.46303111707, 'OE6': 14829.498202721179, 'OE7': 3872.1214357462377, 'OE8': 3064.6020145003904, 'OE9': 2357.352453151213}","{'OE1': 9.401106376886045, 'OE2': 6.5283555046553925, 'OE3': 6.528335560740395, 'OE4': 13.05206813786038, 'OE5': 13.052068137860424, 'OE6': 0.2206483197948007, 'OE7': 6.102302907770831, 'OE8': 3.164755390143391, 'OE9': 0.049701328832958275}","{'OE1': 49340, 'OE2': 49340, 'OE3': 49340, 'OE4': 49340, 'OE5': 49340, 'OE6': 49232, 'OE7': 12856, 'OE8': 12856, 'OE9': 12826}"
