"cff = 2.0, order = 1, 2024-03-15 15:58:55.038084"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
101.0,0.03612957640845593,0.0007346623471342958,950670826.4906231,8600.221285927248,"{'OE1': 48984.88135359194, 'OE2': 35968.726928547745, 'OE3': 34870.04601828419, 'OE4': 34870.04601828419, 'OE5': 34870.04601828419, 'OE6': 34547.53094650892, 'OE7': 8742.807352956379, 'OE8': 8688.973141076125, 'OE9': 8600.221285927248}","{'OE1': 9.466386072247975, 'OE2': 4.720361986835282, 'OE3': 4.720365229988261, 'OE4': 9.437447781524767, 'OE5': 9.437447781524767, 'OE6': 0.22446053441600067, 'OE7': 6.041851397238478, 'OE8': 2.45686599120064, 'OE9': 0.05028097723802441}","{'OE1': 49366, 'OE2': 36249, 'OE3': 36249, 'OE4': 36249, 'OE5': 36249, 'OE6': 36168, 'OE7': 9153, 'OE8': 9153, 'OE9': 9130}"
111.0,0.0420828729576499,0.0007742174451396824,1502808318.8525589,9194.889333605708,"{'OE1': 48851.238375949215, 'OE2': 39674.82100858058, 'OE3': 38112.72977116239, 'OE4': 38112.72977116239, 'OE5': 38112.72977116239, 'OE6': 37686.27453228503, 'OE7': 9381.175662195532, 'OE8': 9303.150740595876, 'OE9': 9194.889333605708}","{'OE1': 9.477880656216202, 'OE2': 5.226688179550628, 'OE3': 5.226688268974222, 'OE4': 10.450617854176102, 'OE5': 10.450617854176102, 'OE6': 0.21317823714209205, 'OE7': 5.805294062832507, 'OE8': 2.7024449445395806, 'OE9': 0.0538069269251254}","{'OE1': 49352, 'OE2': 40082, 'OE3': 40082, 'OE4': 40082, 'OE5': 40082, 'OE6': 40003, 'OE7': 9958, 'OE8': 9958, 'OE9': 9943}"
121.0,0.04781591826130693,0.0007918660119606305,2242473958.0823464,9882.274056877646,"{'OE1': 48687.53880258522, 'OE2': 43099.39972419845, 'OE3': 40984.52741513029, 'OE4': 40984.52741513029, 'OE5': 40984.52741513029, 'OE6': 40434.09807158282, 'OE7': 10135.266508830988, 'OE8': 10025.572409340723, 'OE9': 9882.274056877646}","{'OE1': 9.399492832866576, 'OE2': 5.665104671420572, 'OE3': 5.665104567526804, 'OE4': 11.564577366540004, 'OE5': 11.564577366540004, 'OE6': 0.220432119149662, 'OE7': 5.919252999106119, 'OE8': 2.8856119134564673, 'OE9': 0.05054203921157967}","{'OE1': 49326, 'OE2': 43665, 'OE3': 43665, 'OE4': 43665, 'OE5': 43665, 'OE6': 43592, 'OE7': 10927, 'OE8': 10927, 'OE9': 10912}"
131.0,0.053774985613017634,0.0008543015712347411,3276082851.6824226,10030.30216240002,"{'OE1': 48543.97552606944, 'OE2': 46092.81872161998, 'OE3': 43351.02034772063, 'OE4': 43351.02034772063, 'OE5': 43351.02034772063, 'OE6': 42620.61759218477, 'OE7': 10351.763946892575, 'OE8': 10210.387503691509, 'OE9': 10030.30216240002}","{'OE1': 9.44037979731916, 'OE2': 6.180143255278049, 'OE3': 6.180151534834607, 'OE4': 12.358192023485902, 'OE5': 12.358192023485902, 'OE6': 0.22990112335038182, 'OE7': 5.58486938574104, 'OE8': 3.088422057507205, 'OE9': 0.05270472182516231}","{'OE1': 49338, 'OE2': 46847, 'OE3': 46847, 'OE4': 46847, 'OE5': 46847, 'OE6': 46742, 'OE7': 11353, 'OE8': 11353, 'OE9': 11335}"
141.0,0.06114953684746638,0.0008525738731637468,4583763888.999277,10938.810066743314,"{'OE1': 48380.84455780158, 'OE2': 48379.86396964158, 'OE3': 44958.9101402807, 'OE4': 44958.910140280714, 'OE5': 44958.910140280714, 'OE6': 44060.109824410174, 'OE7': 11365.099396059479, 'OE8': 11173.523591603616, 'OE9': 10938.810066743314}","{'OE1': 9.432937882666069, 'OE2': 6.531445922243513, 'OE3': 6.531424417963926, 'OE4': 13.058435168265703, 'OE5': 13.058435168265703, 'OE6': 0.21739107139953195, 'OE7': 5.820823050455455, 'OE8': 3.241050803790893, 'OE9': 0.05358980831402932}","{'OE1': 49350, 'OE2': 49349, 'OE3': 49349, 'OE4': 49349, 'OE5': 49349, 'OE6': 49242, 'OE7': 12702, 'OE8': 12702, 'OE9': 12684}"
151.0,0.06581801277883415,0.0008774314158032717,5431244226.584482,10548.216151245513,"{'OE1': 48181.81021771951, 'OE2': 48181.81021771951, 'OE3': 44226.799155947345, 'OE4': 44226.799155947345, 'OE5': 44226.799155947345, 'OE6': 43203.28016212674, 'OE7': 11031.250362531628, 'OE8': 10807.653368643641, 'OE9': 10548.216151245513}","{'OE1': 9.424128952860153, 'OE2': 6.544148759127567, 'OE3': 6.544107809610318, 'OE4': 13.081291547373311, 'OE5': 13.081291547373311, 'OE6': 0.23986683071701015, 'OE7': 6.025621050933111, 'OE8': 3.1559245295997327, 'OE9': 0.04961309522768026}","{'OE1': 49337, 'OE2': 49337, 'OE3': 49337, 'OE4': 49337, 'OE5': 49337, 'OE6': 49244, 'OE7': 12574, 'OE8': 12574, 'OE9': 12566}"
161.0,0.07448491067270879,0.0009300769050479057,5906786981.35684,10077.484189680323,"{'OE1': 48029.694638602494, 'OE2': 48029.694638602494, 'OE3': 43602.15536374919, 'OE4': 43602.15536374919, 'OE5': 43602.15536374919, 'OE6': 42451.36886422684, 'OE7': 10616.116220844866, 'OE8': 10366.503088826274, 'OE9': 10077.484189680323}","{'OE1': 9.404656696104281, 'OE2': 6.533437850865491, 'OE3': 6.533361422100095, 'OE4': 13.062358128486885, 'OE5': 13.062358128486885, 'OE6': 0.2133322359299088, 'OE7': 5.976364714600148, 'OE8': 3.240707529541424, 'OE9': 0.04852042561095185}","{'OE1': 49361, 'OE2': 49361, 'OE3': 49361, 'OE4': 49361, 'OE5': 49361, 'OE6': 49267, 'OE7': 12321, 'OE8': 12321, 'OE9': 12309}"
171.0,0.08207918715766027,0.0009237761048652509,5384425451.755756,10181.677826591513,"{'OE1': 47827.87866650552, 'OE2': 47827.87866650552, 'OE3': 42915.70226354274, 'OE4': 42915.70226354274, 'OE5': 42915.70226354274, 'OE6': 41616.63020486063, 'OE7': 10811.495741803505, 'OE8': 10519.50028050087, 'OE9': 10181.677826591513}","{'OE1': 9.43109840821514, 'OE2': 6.543249613904602, 'OE3': 6.5432589565064125, 'OE4': 13.081697380395477, 'OE5': 13.081697380395477, 'OE6': 0.21505635847824955, 'OE7': 5.81455190656807, 'OE8': 3.2430587410764544, 'OE9': 0.054524946988208575}","{'OE1': 49348, 'OE2': 49348, 'OE3': 49348, 'OE4': 49348, 'OE5': 49348, 'OE6': 49234, 'OE7': 12791, 'OE8': 12791, 'OE9': 12773}"
181.0,0.0892148664142951,0.0009939876942241844,4288071991.116755,9478.899974378608,"{'OE1': 47612.7993734315, 'OE2': 47612.79937343151, 'OE3': 42203.992068944775, 'OE4': 42203.992068944775, 'OE5': 42203.992068944775, 'OE6': 40762.468467035476, 'OE7': 10144.366719286569, 'OE8': 9832.433244800572, 'OE9': 9478.899974378608}","{'OE1': 9.386097052674954, 'OE2': 6.543487368727218, 'OE3': 6.543531281624097, 'OE4': 13.085069542918422, 'OE5': 13.085069542918422, 'OE6': 0.21876450294954775, 'OE7': 5.918110666365672, 'OE8': 3.238340913488798, 'OE9': 0.05239913048082051}","{'OE1': 49335, 'OE2': 49335, 'OE3': 49335, 'OE4': 49335, 'OE5': 49335, 'OE6': 49213, 'OE7': 12248, 'OE8': 12248, 'OE9': 12234}"
191.0,0.09477518189146394,0.0010167967799486572,3480066589.1444473,9325.640738986582,"{'OE1': 47424.60135060831, 'OE2': 47424.60135060831, 'OE3': 41490.86575009486, 'OE4': 41490.86575009486, 'OE5': 41490.86575009486, 'OE6': 39906.50995591338, 'OE7': 10072.744362610272, 'OE8': 9722.08077153707, 'OE9': 9325.640738986582}","{'OE1': 9.395504055664716, 'OE2': 6.545370812330839, 'OE3': 6.5454020325462885, 'OE4': 13.084369359333369, 'OE5': 13.084369359333369, 'OE6': 0.2256233101431252, 'OE7': 5.585829909105362, 'OE8': 3.236504789883694, 'OE9': 0.05151430309759536}","{'OE1': 49368, 'OE2': 49368, 'OE3': 49368, 'OE4': 49368, 'OE5': 49368, 'OE6': 49247, 'OE7': 12431, 'OE8': 12431, 'OE9': 12412}"
